dc (V),NM0:d (Wn=5.00e-06) (A),NM0:d (Wn=1.00e-05) (A),NM0:d (Wn=1.50e-05) (A),NM0:d (Wn=2.00e-05) (A),NM0:d (Wn=2.50e-05) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 2e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 1.5e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 5e-06)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 2.5e-05))
630.0E-3,133.0E-6,255.0E-6,376.8E-6,498.4E-6,619.9E-6,632.0E-3,5.662E-3,4.272E-3,2.880E-3,1.484E-3,7.052E-3
632.0E-3,136.0E-6,260.8E-6,385.3E-6,509.7E-6,634.0E-6,634.0E-3,5.741E-3,4.331E-3,2.920E-3,1.504E-3,7.151E-3
634.0E-3,139.0E-6,266.6E-6,394.0E-6,521.2E-6,648.3E-6,636.0E-3,5.820E-3,4.390E-3,2.959E-3,1.524E-3,7.249E-3
636.0E-3,142.0E-6,272.5E-6,402.7E-6,532.8E-6,662.8E-6,638.0E-3,5.899E-3,4.450E-3,2.999E-3,1.544E-3,7.347E-3
638.0E-3,145.1E-6,278.5E-6,411.6E-6,544.6E-6,677.5E-6,640.0E-3,5.977E-3,4.508E-3,3.038E-3,1.564E-3,7.445E-3
640.0E-3,148.2E-6,284.6E-6,420.7E-6,556.6E-6,692.4E-6,642.0E-3,6.055E-3,4.567E-3,3.077E-3,1.583E-3,7.543E-3
642.0E-3,151.4E-6,290.8E-6,429.8E-6,568.7E-6,707.5E-6,644.0E-3,6.133E-3,4.625E-3,3.116E-3,1.603E-3,7.640E-3
644.0E-3,154.6E-6,297.0E-6,439.0E-6,580.9E-6,722.8E-6,646.0E-3,6.210E-3,4.683E-3,3.155E-3,1.622E-3,7.736E-3
646.0E-3,157.9E-6,303.3E-6,448.4E-6,593.4E-6,738.3E-6,648.0E-3,6.287E-3,4.741E-3,3.193E-3,1.642E-3,7.832E-3
648.0E-3,161.1E-6,309.7E-6,457.9E-6,605.9E-6,753.9E-6,650.0E-3,6.364E-3,4.799E-3,3.232E-3,1.661E-3,7.928E-3
650.0E-3,164.5E-6,316.2E-6,467.5E-6,618.7E-6,769.8E-6,652.0E-3,6.440E-3,4.856E-3,3.270E-3,1.680E-3,8.023E-3
652.0E-3,167.8E-6,322.7E-6,477.2E-6,631.5E-6,785.8E-6,654.0E-3,6.515E-3,4.912E-3,3.308E-3,1.699E-3,8.117E-3
654.0E-3,171.2E-6,329.3E-6,487.0E-6,644.6E-6,802.1E-6,656.0E-3,6.590E-3,4.969E-3,3.345E-3,1.718E-3,8.211E-3
656.0E-3,174.7E-6,336.0E-6,497.0E-6,657.8E-6,818.5E-6,658.0E-3,6.665E-3,5.025E-3,3.383E-3,1.736E-3,8.305E-3
658.0E-3,178.1E-6,342.8E-6,507.0E-6,671.1E-6,835.1E-6,660.0E-3,6.739E-3,5.080E-3,3.420E-3,1.755E-3,8.397E-3
660.0E-3,181.6E-6,349.6E-6,517.2E-6,684.6E-6,851.9E-6,662.0E-3,6.813E-3,5.135E-3,3.457E-3,1.773E-3,8.489E-3
662.0E-3,185.2E-6,356.5E-6,527.4E-6,698.2E-6,868.9E-6,664.0E-3,6.886E-3,5.190E-3,3.493E-3,1.791E-3,8.580E-3
664.0E-3,188.8E-6,363.5E-6,537.8E-6,712.0E-6,886.0E-6,666.0E-3,6.958E-3,5.245E-3,3.529E-3,1.810E-3,8.671E-3
666.0E-3,192.4E-6,370.6E-6,548.3E-6,725.9E-6,903.4E-6,668.0E-3,7.030E-3,5.298E-3,3.565E-3,1.827E-3,8.760E-3
668.0E-3,196.0E-6,377.7E-6,558.9E-6,739.9E-6,920.9E-6,670.0E-3,7.101E-3,5.352E-3,3.601E-3,1.845E-3,8.849E-3
670.0E-3,199.7E-6,384.9E-6,569.6E-6,754.1E-6,938.6E-6,672.0E-3,7.171E-3,5.405E-3,3.636E-3,1.863E-3,8.937E-3
672.0E-3,203.5E-6,392.2E-6,580.4E-6,768.5E-6,956.5E-6,674.0E-3,7.241E-3,5.457E-3,3.671E-3,1.880E-3,9.025E-3
674.0E-3,207.2E-6,399.5E-6,591.3E-6,783.0E-6,974.5E-6,676.0E-3,7.311E-3,5.509E-3,3.706E-3,1.897E-3,9.111E-3
676.0E-3,211.0E-6,406.9E-6,602.4E-6,797.6E-6,992.7E-6,678.0E-3,7.379E-3,5.560E-3,3.740E-3,1.914E-3,9.197E-3
678.0E-3,214.8E-6,414.4E-6,613.5E-6,812.3E-6,1.011E-3,680.0E-3,7.447E-3,5.611E-3,3.774E-3,1.931E-3,9.282E-3
680.0E-3,218.7E-6,421.9E-6,624.7E-6,827.2E-6,1.030E-3,682.0E-3,7.514E-3,5.661E-3,3.807E-3,1.948E-3,9.366E-3
682.0E-3,222.6E-6,429.6E-6,636.0E-6,842.3E-6,1.048E-3,684.0E-3,7.580E-3,5.711E-3,3.840E-3,1.964E-3,9.449E-3
684.0E-3,226.5E-6,437.2E-6,647.4E-6,857.4E-6,1.067E-3,686.0E-3,7.646E-3,5.760E-3,3.873E-3,1.981E-3,9.531E-3
686.0E-3,230.5E-6,445.0E-6,659.0E-6,872.7E-6,1.086E-3,688.0E-3,7.711E-3,5.809E-3,3.905E-3,1.997E-3,9.612E-3
688.0E-3,234.5E-6,452.8E-6,670.6E-6,888.1E-6,1.106E-3,690.0E-3,7.775E-3,5.857E-3,3.937E-3,2.012E-3,9.692E-3
690.0E-3,238.5E-6,460.7E-6,682.3E-6,903.7E-6,1.125E-3,692.0E-3,7.838E-3,5.905E-3,3.969E-3,2.028E-3,9.771E-3
692.0E-3,242.6E-6,468.6E-6,694.1E-6,919.4E-6,1.145E-3,694.0E-3,7.901E-3,5.952E-3,4.000E-3,2.044E-3,9.850E-3
694.0E-3,246.6E-6,476.6E-6,706.0E-6,935.2E-6,1.164E-3,696.0E-3,7.963E-3,5.998E-3,4.031E-3,2.059E-3,9.927E-3
696.0E-3,250.8E-6,484.7E-6,718.0E-6,951.1E-6,1.184E-3,698.0E-3,8.024E-3,6.044E-3,4.061E-3,2.074E-3,10.00E-3
698.0E-3,254.9E-6,492.8E-6,730.1E-6,967.1E-6,1.204E-3,700.0E-3,8.084E-3,6.089E-3,4.091E-3,2.089E-3,10.08E-3
700.0E-3,259.1E-6,501.0E-6,742.3E-6,983.3E-6,1.224E-3,702.0E-3,8.143E-3,6.133E-3,4.121E-3,2.103E-3,10.15E-3
702.0E-3,263.3E-6,509.2E-6,754.5E-6,999.6E-6,1.245E-3,704.0E-3,8.202E-3,6.177E-3,4.150E-3,2.118E-3,10.23E-3
704.0E-3,267.5E-6,517.5E-6,766.9E-6,1.016E-3,1.265E-3,706.0E-3,8.259E-3,6.220E-3,4.179E-3,2.132E-3,10.30E-3
706.0E-3,271.8E-6,525.9E-6,779.3E-6,1.033E-3,1.286E-3,708.0E-3,8.316E-3,6.263E-3,4.207E-3,2.146E-3,10.37E-3
708.0E-3,276.1E-6,534.3E-6,791.9E-6,1.049E-3,1.306E-3,710.0E-3,8.372E-3,6.305E-3,4.235E-3,2.160E-3,10.44E-3
710.0E-3,280.4E-6,542.8E-6,804.5E-6,1.066E-3,1.327E-3,712.0E-3,8.427E-3,6.346E-3,4.262E-3,2.173E-3,10.51E-3
712.0E-3,284.8E-6,551.3E-6,817.2E-6,1.083E-3,1.348E-3,714.0E-3,8.482E-3,6.386E-3,4.289E-3,2.186E-3,10.58E-3
714.0E-3,289.1E-6,559.9E-6,829.9E-6,1.100E-3,1.369E-3,716.0E-3,8.535E-3,6.426E-3,4.316E-3,2.199E-3,10.64E-3
716.0E-3,293.5E-6,568.5E-6,842.8E-6,1.117E-3,1.391E-3,718.0E-3,8.588E-3,6.466E-3,4.342E-3,2.212E-3,10.71E-3
718.0E-3,298.0E-6,577.2E-6,855.7E-6,1.134E-3,1.412E-3,720.0E-3,8.639E-3,6.504E-3,4.367E-3,2.225E-3,10.77E-3
720.0E-3,302.4E-6,585.9E-6,868.7E-6,1.151E-3,1.434E-3,722.0E-3,8.690E-3,6.542E-3,4.393E-3,2.237E-3,10.84E-3
722.0E-3,306.9E-6,594.7E-6,881.8E-6,1.169E-3,1.455E-3,724.0E-3,8.740E-3,6.580E-3,4.417E-3,2.249E-3,10.90E-3
724.0E-3,311.4E-6,603.5E-6,895.0E-6,1.186E-3,1.477E-3,726.0E-3,8.789E-3,6.616E-3,4.442E-3,2.261E-3,10.96E-3
726.0E-3,315.9E-6,612.4E-6,908.2E-6,1.204E-3,1.499E-3,728.0E-3,8.837E-3,6.652E-3,4.465E-3,2.273E-3,11.02E-3
728.0E-3,320.4E-6,621.3E-6,921.5E-6,1.221E-3,1.521E-3,730.0E-3,8.884E-3,6.687E-3,4.489E-3,2.285E-3,11.08E-3
730.0E-3,325.0E-6,630.3E-6,934.9E-6,1.239E-3,1.543E-3,732.0E-3,8.930E-3,6.722E-3,4.512E-3,2.296E-3,11.14E-3
732.0E-3,329.6E-6,639.3E-6,948.3E-6,1.257E-3,1.565E-3,734.0E-3,8.975E-3,6.756E-3,4.534E-3,2.307E-3,11.19E-3
734.0E-3,334.2E-6,648.4E-6,961.8E-6,1.275E-3,1.588E-3,736.0E-3,9.020E-3,6.789E-3,4.556E-3,2.318E-3,11.25E-3
736.0E-3,338.9E-6,657.5E-6,975.4E-6,1.293E-3,1.610E-3,738.0E-3,9.063E-3,6.821E-3,4.578E-3,2.328E-3,11.30E-3
738.0E-3,343.5E-6,666.7E-6,989.1E-6,1.311E-3,1.633E-3,740.0E-3,9.106E-3,6.853E-3,4.599E-3,2.338E-3,11.36E-3
740.0E-3,348.2E-6,675.9E-6,1.003E-3,1.329E-3,1.656E-3,742.0E-3,9.147E-3,6.884E-3,4.619E-3,2.348E-3,11.41E-3
742.0E-3,352.9E-6,685.1E-6,1.017E-3,1.348E-3,1.679E-3,744.0E-3,9.188E-3,6.915E-3,4.639E-3,2.358E-3,11.46E-3
744.0E-3,357.6E-6,694.4E-6,1.030E-3,1.366E-3,1.701E-3,746.0E-3,9.228E-3,6.944E-3,4.659E-3,2.368E-3,11.51E-3
746.0E-3,362.3E-6,703.7E-6,1.044E-3,1.384E-3,1.724E-3,748.0E-3,9.267E-3,6.973E-3,4.678E-3,2.377E-3,11.56E-3
748.0E-3,367.1E-6,713.1E-6,1.058E-3,1.403E-3,1.748E-3,750.0E-3,9.304E-3,7.002E-3,4.697E-3,2.386E-3,11.61E-3
750.0E-3,371.9E-6,722.5E-6,1.072E-3,1.422E-3,1.771E-3,752.0E-3,9.341E-3,7.029E-3,4.715E-3,2.395E-3,11.65E-3
752.0E-3,376.7E-6,731.9E-6,1.086E-3,1.440E-3,1.794E-3,754.0E-3,9.377E-3,7.056E-3,4.733E-3,2.404E-3,11.70E-3
754.0E-3,381.5E-6,741.4E-6,1.100E-3,1.459E-3,1.817E-3,756.0E-3,9.412E-3,7.082E-3,4.750E-3,2.412E-3,11.74E-3
756.0E-3,386.3E-6,750.9E-6,1.115E-3,1.478E-3,1.841E-3,758.0E-3,9.447E-3,7.108E-3,4.767E-3,2.420E-3,11.78E-3
758.0E-3,391.1E-6,760.4E-6,1.129E-3,1.497E-3,1.865E-3,760.0E-3,9.480E-3,7.133E-3,4.783E-3,2.428E-3,11.83E-3
760.0E-3,396.0E-6,770.0E-6,1.143E-3,1.516E-3,1.888E-3,762.0E-3,9.512E-3,7.157E-3,4.799E-3,2.436E-3,11.87E-3
762.0E-3,400.9E-6,779.6E-6,1.157E-3,1.535E-3,1.912E-3,764.0E-3,9.543E-3,7.180E-3,4.815E-3,2.443E-3,11.91E-3
764.0E-3,405.7E-6,789.2E-6,1.172E-3,1.554E-3,1.936E-3,766.0E-3,9.574E-3,7.203E-3,4.830E-3,2.451E-3,11.94E-3
766.0E-3,410.6E-6,798.9E-6,1.186E-3,1.573E-3,1.960E-3,768.0E-3,9.603E-3,7.225E-3,4.844E-3,2.457E-3,11.98E-3
768.0E-3,415.6E-6,808.5E-6,1.201E-3,1.592E-3,1.984E-3,770.0E-3,9.631E-3,7.246E-3,4.858E-3,2.464E-3,12.02E-3
770.0E-3,420.5E-6,818.3E-6,1.215E-3,1.611E-3,2.008E-3,772.0E-3,9.659E-3,7.266E-3,4.872E-3,2.471E-3,12.05E-3
772.0E-3,425.4E-6,828.0E-6,1.230E-3,1.631E-3,2.032E-3,774.0E-3,9.686E-3,7.286E-3,4.885E-3,2.477E-3,12.08E-3
774.0E-3,430.4E-6,837.8E-6,1.244E-3,1.650E-3,2.056E-3,776.0E-3,9.711E-3,7.305E-3,4.897E-3,2.483E-3,12.12E-3
776.0E-3,435.3E-6,847.6E-6,1.259E-3,1.670E-3,2.080E-3,778.0E-3,9.736E-3,7.324E-3,4.909E-3,2.489E-3,12.15E-3
778.0E-3,440.3E-6,857.4E-6,1.273E-3,1.689E-3,2.104E-3,780.0E-3,9.760E-3,7.341E-3,4.921E-3,2.494E-3,12.18E-3
780.0E-3,445.3E-6,867.2E-6,1.288E-3,1.709E-3,2.129E-3,782.0E-3,9.783E-3,7.358E-3,4.932E-3,2.500E-3,12.21E-3
782.0E-3,450.3E-6,877.1E-6,1.303E-3,1.728E-3,2.153E-3,784.0E-3,9.804E-3,7.375E-3,4.943E-3,2.505E-3,12.23E-3
784.0E-3,455.3E-6,887.0E-6,1.318E-3,1.748E-3,2.178E-3,786.0E-3,9.825E-3,7.390E-3,4.953E-3,2.510E-3,12.26E-3
786.0E-3,460.3E-6,896.9E-6,1.332E-3,1.767E-3,2.202E-3,788.0E-3,9.846E-3,7.405E-3,4.963E-3,2.514E-3,12.28E-3
788.0E-3,465.4E-6,906.8E-6,1.347E-3,1.787E-3,2.227E-3,790.0E-3,9.865E-3,7.419E-3,4.972E-3,2.519E-3,12.31E-3
790.0E-3,470.4E-6,916.8E-6,1.362E-3,1.807E-3,2.251E-3,792.0E-3,9.883E-3,7.433E-3,4.981E-3,2.523E-3,12.33E-3
792.0E-3,475.4E-6,926.7E-6,1.377E-3,1.827E-3,2.276E-3,794.0E-3,9.900E-3,7.446E-3,4.989E-3,2.527E-3,12.35E-3
794.0E-3,480.5E-6,936.7E-6,1.392E-3,1.846E-3,2.301E-3,796.0E-3,9.917E-3,7.458E-3,4.997E-3,2.530E-3,12.37E-3
796.0E-3,485.6E-6,946.7E-6,1.407E-3,1.866E-3,2.325E-3,798.0E-3,9.932E-3,7.470E-3,5.005E-3,2.534E-3,12.39E-3
798.0E-3,490.6E-6,956.7E-6,1.422E-3,1.886E-3,2.350E-3,800.0E-3,9.947E-3,7.480E-3,5.012E-3,2.537E-3,12.41E-3
800.0E-3,495.7E-6,966.7E-6,1.437E-3,1.906E-3,2.375E-3,802.0E-3,9.961E-3,7.491E-3,5.019E-3,2.540E-3,12.43E-3
802.0E-3,500.8E-6,976.8E-6,1.452E-3,1.926E-3,2.400E-3,804.0E-3,9.974E-3,7.500E-3,5.025E-3,2.543E-3,12.45E-3
804.0E-3,505.9E-6,986.8E-6,1.467E-3,1.946E-3,2.425E-3,806.0E-3,9.986E-3,7.509E-3,5.030E-3,2.546E-3,12.46E-3
806.0E-3,511.0E-6,996.9E-6,1.482E-3,1.966E-3,2.450E-3,808.0E-3,9.997E-3,7.517E-3,5.036E-3,2.548E-3,12.48E-3
808.0E-3,516.1E-6,1.007E-3,1.497E-3,1.986E-3,2.475E-3,810.0E-3,10.01E-3,7.525E-3,5.041E-3,2.550E-3,12.49E-3
810.0E-3,521.2E-6,1.017E-3,1.512E-3,2.006E-3,2.500E-3,812.0E-3,10.02E-3,7.532E-3,5.045E-3,2.552E-3,12.50E-3
812.0E-3,526.3E-6,1.027E-3,1.527E-3,2.026E-3,2.525E-3,814.0E-3,10.03E-3,7.538E-3,5.049E-3,2.554E-3,12.51E-3
814.0E-3,531.4E-6,1.037E-3,1.542E-3,2.046E-3,2.550E-3,816.0E-3,10.03E-3,7.544E-3,5.053E-3,2.555E-3,12.52E-3
816.0E-3,536.5E-6,1.047E-3,1.557E-3,2.066E-3,2.575E-3,818.0E-3,10.04E-3,7.549E-3,5.056E-3,2.557E-3,12.53E-3
818.0E-3,541.6E-6,1.057E-3,1.572E-3,2.086E-3,2.600E-3,820.0E-3,10.05E-3,7.554E-3,5.059E-3,2.558E-3,12.54E-3
820.0E-3,546.7E-6,1.068E-3,1.587E-3,2.106E-3,2.625E-3,822.0E-3,10.05E-3,7.557E-3,5.061E-3,2.559E-3,12.54E-3
822.0E-3,551.8E-6,1.078E-3,1.602E-3,2.126E-3,2.650E-3,824.0E-3,10.06E-3,7.561E-3,5.063E-3,2.560E-3,12.55E-3
824.0E-3,556.9E-6,1.088E-3,1.617E-3,2.146E-3,2.675E-3,826.0E-3,10.06E-3,7.564E-3,5.065E-3,2.560E-3,12.56E-3
826.0E-3,562.1E-6,1.098E-3,1.632E-3,2.166E-3,2.700E-3,828.0E-3,10.06E-3,7.566E-3,5.066E-3,2.561E-3,12.56E-3
828.0E-3,567.2E-6,1.108E-3,1.648E-3,2.187E-3,2.725E-3,830.0E-3,10.07E-3,7.567E-3,5.067E-3,2.561E-3,12.56E-3
830.0E-3,572.3E-6,1.118E-3,1.663E-3,2.207E-3,2.750E-3,832.0E-3,10.07E-3,7.568E-3,5.068E-3,2.561E-3,12.56E-3
832.0E-3,577.4E-6,1.128E-3,1.678E-3,2.227E-3,2.776E-3,834.0E-3,10.07E-3,7.569E-3,5.068E-3,2.561E-3,12.57E-3
834.0E-3,582.6E-6,1.138E-3,1.693E-3,2.247E-3,2.801E-3,836.0E-3,10.07E-3,7.569E-3,5.068E-3,2.561E-3,12.57E-3
836.0E-3,587.7E-6,1.149E-3,1.708E-3,2.267E-3,2.826E-3,838.0E-3,10.07E-3,7.568E-3,5.067E-3,2.560E-3,12.57E-3
838.0E-3,592.8E-6,1.159E-3,1.723E-3,2.287E-3,2.851E-3,840.0E-3,10.07E-3,7.567E-3,5.067E-3,2.560E-3,12.56E-3
840.0E-3,597.9E-6,1.169E-3,1.738E-3,2.307E-3,2.876E-3,842.0E-3,10.06E-3,7.566E-3,5.065E-3,2.559E-3,12.56E-3
842.0E-3,603.0E-6,1.179E-3,1.754E-3,2.327E-3,2.901E-3,844.0E-3,10.06E-3,7.564E-3,5.064E-3,2.558E-3,12.56E-3
844.0E-3,608.2E-6,1.189E-3,1.769E-3,2.348E-3,2.926E-3,846.0E-3,10.06E-3,7.561E-3,5.062E-3,2.557E-3,12.55E-3
846.0E-3,613.3E-6,1.199E-3,1.784E-3,2.368E-3,2.951E-3,848.0E-3,10.05E-3,7.558E-3,5.060E-3,2.555E-3,12.55E-3
848.0E-3,618.4E-6,1.209E-3,1.799E-3,2.388E-3,2.977E-3,850.0E-3,10.05E-3,7.554E-3,5.057E-3,2.554E-3,12.54E-3
850.0E-3,623.5E-6,1.219E-3,1.814E-3,2.408E-3,3.002E-3,852.0E-3,10.04E-3,7.551E-3,5.055E-3,2.552E-3,12.54E-3
852.0E-3,628.6E-6,1.230E-3,1.829E-3,2.428E-3,3.027E-3,854.0E-3,10.04E-3,7.546E-3,5.052E-3,2.551E-3,12.53E-3
854.0E-3,633.7E-6,1.240E-3,1.844E-3,2.448E-3,3.052E-3,856.0E-3,10.03E-3,7.541E-3,5.048E-3,2.549E-3,12.52E-3
856.0E-3,638.8E-6,1.250E-3,1.859E-3,2.468E-3,3.077E-3,858.0E-3,10.03E-3,7.536E-3,5.045E-3,2.547E-3,12.51E-3
858.0E-3,643.9E-6,1.260E-3,1.874E-3,2.488E-3,3.102E-3,860.0E-3,10.02E-3,7.530E-3,5.041E-3,2.545E-3,12.50E-3
860.0E-3,649.0E-6,1.270E-3,1.889E-3,2.508E-3,3.127E-3,862.0E-3,10.01E-3,7.524E-3,5.036E-3,2.542E-3,12.49E-3
862.0E-3,654.1E-6,1.280E-3,1.904E-3,2.528E-3,3.152E-3,864.0E-3,10.00E-3,7.518E-3,5.032E-3,2.540E-3,12.48E-3
864.0E-3,659.1E-6,1.290E-3,1.919E-3,2.548E-3,3.177E-3,866.0E-3,9.992E-3,7.511E-3,5.027E-3,2.537E-3,12.47E-3
866.0E-3,664.2E-6,1.300E-3,1.934E-3,2.568E-3,3.202E-3,868.0E-3,9.983E-3,7.503E-3,5.022E-3,2.535E-3,12.46E-3
868.0E-3,669.3E-6,1.310E-3,1.950E-3,2.588E-3,3.227E-3,870.0E-3,9.972E-3,7.496E-3,5.017E-3,2.532E-3,12.45E-3
870.0E-3,674.3E-6,1.320E-3,1.964E-3,2.608E-3,3.252E-3,872.0E-3,9.962E-3,7.488E-3,5.012E-3,2.529E-3,12.44E-3
872.0E-3,679.4E-6,1.330E-3,1.979E-3,2.628E-3,3.276E-3,874.0E-3,9.951E-3,7.479E-3,5.006E-3,2.526E-3,12.42E-3
874.0E-3,684.5E-6,1.340E-3,1.994E-3,2.648E-3,3.301E-3,876.0E-3,9.939E-3,7.471E-3,5.000E-3,2.523E-3,12.41E-3
876.0E-3,689.5E-6,1.350E-3,2.009E-3,2.668E-3,3.326E-3,878.0E-3,9.927E-3,7.462E-3,4.994E-3,2.520E-3,12.39E-3
878.0E-3,694.5E-6,1.360E-3,2.024E-3,2.688E-3,3.351E-3,880.0E-3,9.915E-3,7.452E-3,4.988E-3,2.516E-3,12.38E-3
880.0E-3,699.6E-6,1.370E-3,2.039E-3,2.708E-3,3.376E-3,882.0E-3,9.902E-3,7.442E-3,4.981E-3,2.513E-3,12.36E-3
882.0E-3,704.6E-6,1.380E-3,2.054E-3,2.727E-3,3.400E-3,884.0E-3,9.889E-3,7.432E-3,4.974E-3,2.510E-3,12.34E-3
884.0E-3,709.6E-6,1.390E-3,2.069E-3,2.747E-3,3.425E-3,886.0E-3,9.875E-3,7.422E-3,4.967E-3,2.506E-3,12.33E-3
886.0E-3,714.6E-6,1.400E-3,2.084E-3,2.767E-3,3.450E-3,888.0E-3,9.861E-3,7.412E-3,4.960E-3,2.502E-3,12.31E-3
888.0E-3,719.6E-6,1.410E-3,2.099E-3,2.787E-3,3.474E-3,890.0E-3,9.847E-3,7.401E-3,4.953E-3,2.498E-3,12.29E-3
890.0E-3,724.6E-6,1.420E-3,2.113E-3,2.806E-3,3.499E-3,892.0E-3,9.832E-3,7.389E-3,4.945E-3,2.495E-3,12.27E-3
892.0E-3,729.6E-6,1.430E-3,2.128E-3,2.826E-3,3.523E-3,894.0E-3,9.817E-3,7.378E-3,4.938E-3,2.491E-3,12.25E-3
894.0E-3,734.6E-6,1.440E-3,2.143E-3,2.846E-3,3.548E-3,896.0E-3,9.801E-3,7.366E-3,4.930E-3,2.486E-3,12.24E-3
896.0E-3,739.6E-6,1.450E-3,2.158E-3,2.865E-3,3.572E-3,898.0E-3,9.785E-3,7.354E-3,4.922E-3,2.482E-3,12.22E-3
898.0E-3,744.5E-6,1.459E-3,2.172E-3,2.885E-3,3.597E-3,900.0E-3,9.769E-3,7.342E-3,4.913E-3,2.478E-3,12.20E-3
900.0E-3,749.5E-6,1.469E-3,2.187E-3,2.904E-3,3.621E-3,902.0E-3,9.753E-3,7.330E-3,4.905E-3,2.474E-3,12.17E-3
902.0E-3,754.4E-6,1.479E-3,2.202E-3,2.924E-3,3.646E-3,904.0E-3,9.736E-3,7.317E-3,4.896E-3,2.469E-3,12.15E-3
904.0E-3,759.4E-6,1.489E-3,2.216E-3,2.943E-3,3.670E-3,906.0E-3,9.719E-3,7.304E-3,4.888E-3,2.465E-3,12.13E-3
906.0E-3,764.3E-6,1.499E-3,2.231E-3,2.963E-3,3.694E-3,908.0E-3,9.701E-3,7.291E-3,4.879E-3,2.460E-3,12.11E-3
908.0E-3,769.2E-6,1.508E-3,2.246E-3,2.982E-3,3.718E-3,910.0E-3,9.683E-3,7.278E-3,4.870E-3,2.456E-3,12.09E-3
910.0E-3,774.1E-6,1.518E-3,2.260E-3,3.001E-3,3.743E-3,912.0E-3,9.665E-3,7.264E-3,4.861E-3,2.451E-3,12.07E-3
912.0E-3,779.0E-6,1.528E-3,2.275E-3,3.021E-3,3.767E-3,914.0E-3,9.647E-3,7.250E-3,4.852E-3,2.447E-3,12.04E-3
914.0E-3,783.9E-6,1.538E-3,2.289E-3,3.040E-3,3.791E-3,916.0E-3,9.629E-3,7.236E-3,4.842E-3,2.442E-3,12.02E-3
916.0E-3,788.8E-6,1.547E-3,2.304E-3,3.059E-3,3.815E-3,918.0E-3,9.610E-3,7.222E-3,4.833E-3,2.437E-3,12.00E-3
918.0E-3,793.7E-6,1.557E-3,2.318E-3,3.079E-3,3.839E-3,920.0E-3,9.591E-3,7.208E-3,4.823E-3,2.432E-3,11.97E-3
920.0E-3,798.6E-6,1.566E-3,2.332E-3,3.098E-3,3.863E-3,922.0E-3,9.572E-3,7.193E-3,4.813E-3,2.427E-3,11.95E-3
922.0E-3,803.4E-6,1.576E-3,2.347E-3,3.117E-3,3.887E-3,924.0E-3,9.552E-3,7.179E-3,4.804E-3,2.422E-3,11.92E-3
924.0E-3,808.3E-6,1.586E-3,2.361E-3,3.136E-3,3.911E-3,926.0E-3,9.532E-3,7.164E-3,4.794E-3,2.417E-3,11.90E-3
926.0E-3,813.1E-6,1.595E-3,2.376E-3,3.155E-3,3.934E-3,928.0E-3,9.513E-3,7.149E-3,4.784E-3,2.412E-3,11.88E-3
928.0E-3,817.9E-6,1.605E-3,2.390E-3,3.174E-3,3.958E-3,930.0E-3,9.492E-3,7.134E-3,4.774E-3,2.407E-3,11.85E-3
930.0E-3,822.7E-6,1.614E-3,2.404E-3,3.193E-3,3.982E-3,932.0E-3,9.472E-3,7.119E-3,4.763E-3,2.401E-3,11.82E-3
932.0E-3,827.5E-6,1.624E-3,2.418E-3,3.212E-3,4.005E-3,934.0E-3,9.452E-3,7.103E-3,4.753E-3,2.396E-3,11.80E-3
934.0E-3,832.3E-6,1.633E-3,2.433E-3,3.231E-3,4.029E-3,936.0E-3,9.431E-3,7.088E-3,4.742E-3,2.391E-3,11.77E-3
936.0E-3,837.1E-6,1.643E-3,2.447E-3,3.250E-3,4.053E-3,938.0E-3,9.410E-3,7.072E-3,4.732E-3,2.386E-3,11.75E-3
938.0E-3,841.9E-6,1.652E-3,2.461E-3,3.269E-3,4.076E-3,940.0E-3,9.389E-3,7.056E-3,4.721E-3,2.380E-3,11.72E-3
940.0E-3,846.6E-6,1.662E-3,2.475E-3,3.287E-3,4.099E-3,942.0E-3,9.368E-3,7.040E-3,4.711E-3,2.375E-3,11.69E-3
942.0E-3,851.4E-6,1.671E-3,2.489E-3,3.306E-3,4.123E-3,944.0E-3,9.346E-3,7.024E-3,4.700E-3,2.369E-3,11.67E-3
944.0E-3,856.1E-6,1.681E-3,2.503E-3,3.325E-3,4.146E-3,946.0E-3,9.325E-3,7.008E-3,4.689E-3,2.364E-3,11.64E-3
946.0E-3,860.9E-6,1.690E-3,2.517E-3,3.343E-3,4.169E-3,948.0E-3,9.303E-3,6.991E-3,4.678E-3,2.358E-3,11.61E-3
948.0E-3,865.6E-6,1.699E-3,2.531E-3,3.362E-3,4.193E-3,950.0E-3,9.281E-3,6.975E-3,4.667E-3,2.353E-3,11.59E-3
950.0E-3,870.3E-6,1.709E-3,2.545E-3,3.381E-3,4.216E-3,952.0E-3,9.259E-3,6.958E-3,4.656E-3,2.347E-3,11.56E-3
952.0E-3,875.0E-6,1.718E-3,2.559E-3,3.399E-3,4.239E-3,954.0E-3,9.237E-3,6.942E-3,4.645E-3,2.341E-3,11.53E-3
954.0E-3,879.7E-6,1.727E-3,2.573E-3,3.418E-3,4.262E-3,956.0E-3,9.215E-3,6.925E-3,4.634E-3,2.336E-3,11.50E-3
