dc (V),NM0:d (Wn=5.00e-06) (A),NM0:d (Wn=1.00e-05) (A),NM0:d (Wn=1.50e-05) (A),NM0:d (Wn=2.00e-05) (A),NM0:d (Wn=2.50e-05) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 2e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 1.5e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 5e-06)),deriv(value(getData("/NM0/D" ?result "dc") "Wn" 2.5e-05))
114.0E-3,761.5E-12,1.371E-9,1.983E-9,2.595E-9,3.207E-9,116.0E-3,86.58E-9,66.15E-9,45.72E-9,25.38E-9,107.0E-9
116.0E-3,812.3E-12,1.462E-9,2.115E-9,2.768E-9,3.421E-9,118.0E-3,92.33E-9,70.54E-9,48.75E-9,27.06E-9,114.1E-9
118.0E-3,866.4E-12,1.560E-9,2.256E-9,2.953E-9,3.649E-9,120.0E-3,98.46E-9,75.22E-9,51.99E-9,28.86E-9,121.7E-9
120.0E-3,924.1E-12,1.664E-9,2.407E-9,3.150E-9,3.893E-9,122.0E-3,105.0E-9,80.21E-9,55.44E-9,30.77E-9,129.8E-9
122.0E-3,985.6E-12,1.775E-9,2.567E-9,3.360E-9,4.152E-9,124.0E-3,111.9E-9,85.53E-9,59.11E-9,32.81E-9,138.4E-9
124.0E-3,1.051E-9,1.893E-9,2.738E-9,3.584E-9,4.429E-9,126.0E-3,119.4E-9,91.20E-9,63.03E-9,34.98E-9,147.5E-9
126.0E-3,1.121E-9,2.019E-9,2.921E-9,3.822E-9,4.724E-9,128.0E-3,127.3E-9,97.24E-9,67.20E-9,37.29E-9,157.3E-9
128.0E-3,1.196E-9,2.153E-9,3.115E-9,4.077E-9,5.039E-9,130.0E-3,135.7E-9,103.7E-9,71.65E-9,39.76E-9,167.7E-9
130.0E-3,1.275E-9,2.297E-9,3.323E-9,4.348E-9,5.374E-9,132.0E-3,144.7E-9,110.5E-9,76.39E-9,42.39E-9,178.8E-9
132.0E-3,1.360E-9,2.449E-9,3.544E-9,4.638E-9,5.732E-9,134.0E-3,154.2E-9,117.8E-9,81.43E-9,45.19E-9,190.6E-9
134.0E-3,1.450E-9,2.612E-9,3.779E-9,4.946E-9,6.113E-9,136.0E-3,164.4E-9,125.6E-9,86.81E-9,48.17E-9,203.2E-9
136.0E-3,1.547E-9,2.786E-9,4.031E-9,5.275E-9,6.520E-9,138.0E-3,175.3E-9,133.9E-9,92.55E-9,51.35E-9,216.7E-9
138.0E-3,1.650E-9,2.971E-9,4.299E-9,5.626E-9,6.953E-9,140.0E-3,186.9E-9,142.8E-9,98.65E-9,54.73E-9,231.0E-9
140.0E-3,1.759E-9,3.168E-9,4.584E-9,5.999E-9,7.415E-9,142.0E-3,199.2E-9,152.2E-9,105.2E-9,58.34E-9,246.2E-9
142.0E-3,1.876E-9,3.379E-9,4.888E-9,6.398E-9,7.907E-9,144.0E-3,212.3E-9,162.2E-9,112.1E-9,62.18E-9,262.4E-9
144.0E-3,2.000E-9,3.603E-9,5.213E-9,6.823E-9,8.432E-9,146.0E-3,226.3E-9,172.9E-9,119.5E-9,66.27E-9,279.7E-9
146.0E-3,2.133E-9,3.842E-9,5.559E-9,7.275E-9,8.992E-9,148.0E-3,241.2E-9,184.3E-9,127.3E-9,70.63E-9,298.2E-9
148.0E-3,2.274E-9,4.096E-9,5.927E-9,7.758E-9,9.588E-9,150.0E-3,257.1E-9,196.4E-9,135.7E-9,75.27E-9,317.8E-9
150.0E-3,2.424E-9,4.368E-9,6.320E-9,8.272E-9,10.22E-9,152.0E-3,274.0E-9,209.3E-9,144.6E-9,80.21E-9,338.7E-9
152.0E-3,2.585E-9,4.657E-9,6.739E-9,8.820E-9,10.90E-9,154.0E-3,292.0E-9,223.1E-9,154.1E-9,85.48E-9,360.9E-9
154.0E-3,2.756E-9,4.965E-9,7.185E-9,9.404E-9,11.62E-9,156.0E-3,311.2E-9,237.7E-9,164.2E-9,91.08E-9,384.6E-9
156.0E-3,2.938E-9,5.294E-9,7.660E-9,10.03E-9,12.39E-9,158.0E-3,331.6E-9,253.3E-9,175.0E-9,97.05E-9,409.9E-9
158.0E-3,3.132E-9,5.644E-9,8.167E-9,10.69E-9,13.21E-9,160.0E-3,353.3E-9,269.9E-9,186.5E-9,103.4E-9,436.8E-9
160.0E-3,3.339E-9,6.017E-9,8.707E-9,11.40E-9,14.09E-9,162.0E-3,376.5E-9,287.6E-9,198.7E-9,110.2E-9,465.4E-9
162.0E-3,3.559E-9,6.414E-9,9.282E-9,12.15E-9,15.02E-9,164.0E-3,401.1E-9,306.4E-9,211.7E-9,117.4E-9,495.9E-9
164.0E-3,3.794E-9,6.838E-9,9.895E-9,12.95E-9,16.01E-9,166.0E-3,427.4E-9,326.5E-9,225.5E-9,125.0E-9,528.3E-9
166.0E-3,4.044E-9,7.289E-9,10.55E-9,13.81E-9,17.06E-9,168.0E-3,455.3E-9,347.8E-9,240.3E-9,133.2E-9,562.8E-9
168.0E-3,4.310E-9,7.769E-9,11.24E-9,14.72E-9,18.19E-9,170.0E-3,485.0E-9,370.5E-9,255.9E-9,141.9E-9,599.6E-9
170.0E-3,4.594E-9,8.281E-9,11.98E-9,15.69E-9,19.39E-9,172.0E-3,516.7E-9,394.7E-9,272.6E-9,151.1E-9,638.7E-9
172.0E-3,4.896E-9,8.826E-9,12.77E-9,16.72E-9,20.67E-9,174.0E-3,550.4E-9,420.4E-9,290.4E-9,160.9E-9,680.3E-9
