dc (V),deriv(i("/NM0/D" ?result "dc")),dc (V),NM0:d (A)
356.0E-3,163.3E-6,354.0E-3,6.318E-6
358.0E-3,170.8E-6,356.0E-3,6.645E-6
360.0E-3,178.5E-6,358.0E-3,6.986E-6
362.0E-3,186.6E-6,360.0E-3,7.343E-6
364.0E-3,195.0E-6,362.0E-3,7.717E-6
366.0E-3,203.6E-6,364.0E-3,8.107E-6
368.0E-3,212.6E-6,366.0E-3,8.514E-6
370.0E-3,222.0E-6,368.0E-3,8.939E-6
372.0E-3,231.6E-6,370.0E-3,9.383E-6
374.0E-3,241.6E-6,372.0E-3,9.846E-6
376.0E-3,252.0E-6,374.0E-3,10.33E-6
378.0E-3,262.7E-6,376.0E-3,10.83E-6
380.0E-3,273.8E-6,378.0E-3,11.36E-6
382.0E-3,285.3E-6,380.0E-3,11.91E-6
384.0E-3,297.2E-6,382.0E-3,12.48E-6
386.0E-3,309.5E-6,384.0E-3,13.07E-6
388.0E-3,322.2E-6,386.0E-3,13.69E-6
390.0E-3,335.4E-6,388.0E-3,14.34E-6
392.0E-3,349.0E-6,390.0E-3,15.01E-6
394.0E-3,363.0E-6,392.0E-3,15.70E-6
396.0E-3,377.5E-6,394.0E-3,16.43E-6
398.0E-3,392.5E-6,396.0E-3,17.19E-6
400.0E-3,408.0E-6,398.0E-3,17.97E-6
402.0E-3,423.9E-6,400.0E-3,18.79E-6
404.0E-3,440.4E-6,402.0E-3,19.63E-6
406.0E-3,457.5E-6,404.0E-3,20.52E-6
408.0E-3,475.0E-6,406.0E-3,21.43E-6
410.0E-3,493.2E-6,408.0E-3,22.38E-6
412.0E-3,511.9E-6,410.0E-3,23.37E-6
414.0E-3,531.2E-6,412.0E-3,24.39E-6
416.0E-3,551.1E-6,414.0E-3,25.45E-6
418.0E-3,571.6E-6,416.0E-3,26.55E-6
420.0E-3,592.8E-6,418.0E-3,27.70E-6
422.0E-3,614.6E-6,420.0E-3,28.88E-6
424.0E-3,637.1E-6,422.0E-3,30.11E-6
426.0E-3,660.3E-6,424.0E-3,31.39E-6
428.0E-3,684.2E-6,426.0E-3,32.71E-6
430.0E-3,708.9E-6,428.0E-3,34.08E-6
432.0E-3,734.3E-6,430.0E-3,35.49E-6
434.0E-3,760.4E-6,432.0E-3,36.96E-6
436.0E-3,787.4E-6,434.0E-3,38.48E-6
438.0E-3,815.2E-6,436.0E-3,40.06E-6
440.0E-3,843.8E-6,438.0E-3,41.69E-6
442.0E-3,873.2E-6,440.0E-3,43.38E-6
444.0E-3,903.6E-6,442.0E-3,45.12E-6
446.0E-3,934.8E-6,444.0E-3,46.93E-6
448.0E-3,967.0E-6,446.0E-3,48.80E-6
450.0E-3,1.000E-3,448.0E-3,50.73E-6
452.0E-3,1.034E-3,450.0E-3,52.73E-6
454.0E-3,1.069E-3,452.0E-3,54.80E-6
456.0E-3,1.105E-3,454.0E-3,56.94E-6
458.0E-3,1.142E-3,456.0E-3,59.15E-6
460.0E-3,1.181E-3,458.0E-3,61.44E-6
462.0E-3,1.220E-3,460.0E-3,63.80E-6
464.0E-3,1.260E-3,462.0E-3,66.24E-6
466.0E-3,1.302E-3,464.0E-3,68.76E-6
468.0E-3,1.344E-3,466.0E-3,71.36E-6
470.0E-3,1.388E-3,468.0E-3,74.05E-6
472.0E-3,1.433E-3,470.0E-3,76.82E-6
474.0E-3,1.479E-3,472.0E-3,79.69E-6
476.0E-3,1.527E-3,474.0E-3,82.65E-6
478.0E-3,1.576E-3,476.0E-3,85.70E-6
480.0E-3,1.626E-3,478.0E-3,88.86E-6
482.0E-3,1.677E-3,480.0E-3,92.11E-6
484.0E-3,1.730E-3,482.0E-3,95.46E-6
486.0E-3,1.784E-3,484.0E-3,98.92E-6
488.0E-3,1.840E-3,486.0E-3,102.5E-6
490.0E-3,1.897E-3,488.0E-3,106.2E-6
492.0E-3,1.955E-3,490.0E-3,110.0E-6
494.0E-3,2.015E-3,492.0E-3,113.9E-6
496.0E-3,2.076E-3,494.0E-3,117.9E-6
498.0E-3,2.139E-3,496.0E-3,122.1E-6
500.0E-3,2.203E-3,498.0E-3,126.3E-6
502.0E-3,2.269E-3,500.0E-3,130.7E-6
504.0E-3,2.336E-3,502.0E-3,135.3E-6
506.0E-3,2.405E-3,504.0E-3,139.9E-6
508.0E-3,2.475E-3,506.0E-3,144.8E-6
510.0E-3,2.547E-3,508.0E-3,149.7E-6
512.0E-3,2.620E-3,510.0E-3,154.8E-6
514.0E-3,2.696E-3,512.0E-3,160.0E-6
516.0E-3,2.772E-3,514.0E-3,165.4E-6
518.0E-3,2.850E-3,516.0E-3,171.0E-6
520.0E-3,2.930E-3,518.0E-3,176.7E-6
522.0E-3,3.012E-3,520.0E-3,182.5E-6
524.0E-3,3.095E-3,522.0E-3,188.6E-6
526.0E-3,3.180E-3,524.0E-3,194.8E-6
528.0E-3,3.266E-3,526.0E-3,201.1E-6
530.0E-3,3.354E-3,528.0E-3,207.6E-6
532.0E-3,3.443E-3,530.0E-3,214.3E-6
534.0E-3,3.534E-3,532.0E-3,221.2E-6
536.0E-3,3.627E-3,534.0E-3,228.3E-6
538.0E-3,3.721E-3,536.0E-3,235.6E-6
540.0E-3,3.817E-3,538.0E-3,243.0E-6
542.0E-3,3.914E-3,540.0E-3,250.6E-6
544.0E-3,4.012E-3,542.0E-3,258.5E-6
546.0E-3,4.113E-3,544.0E-3,266.5E-6
548.0E-3,4.214E-3,546.0E-3,274.7E-6
550.0E-3,4.318E-3,548.0E-3,283.1E-6
552.0E-3,4.422E-3,550.0E-3,291.8E-6
554.0E-3,4.528E-3,552.0E-3,300.6E-6
556.0E-3,4.636E-3,554.0E-3,309.7E-6
558.0E-3,4.744E-3,556.0E-3,318.9E-6
560.0E-3,4.854E-3,558.0E-3,328.4E-6
562.0E-3,4.966E-3,560.0E-3,338.1E-6
564.0E-3,5.078E-3,562.0E-3,348.1E-6
566.0E-3,5.192E-3,564.0E-3,358.2E-6
568.0E-3,5.307E-3,566.0E-3,368.6E-6
570.0E-3,5.423E-3,568.0E-3,379.2E-6
572.0E-3,5.540E-3,570.0E-3,390.1E-6
574.0E-3,5.659E-3,572.0E-3,401.2E-6
576.0E-3,5.778E-3,574.0E-3,412.5E-6
578.0E-3,5.898E-3,576.0E-3,424.0E-6
580.0E-3,6.019E-3,578.0E-3,435.8E-6
582.0E-3,6.141E-3,580.0E-3,447.9E-6
584.0E-3,6.264E-3,582.0E-3,460.1E-6
586.0E-3,6.388E-3,584.0E-3,472.7E-6
588.0E-3,6.512E-3,586.0E-3,485.4E-6
590.0E-3,6.637E-3,588.0E-3,498.5E-6
592.0E-3,6.763E-3,590.0E-3,511.7E-6
594.0E-3,6.889E-3,592.0E-3,525.3E-6
596.0E-3,7.016E-3,594.0E-3,539.1E-6
598.0E-3,7.144E-3,596.0E-3,553.1E-6
600.0E-3,7.271E-3,598.0E-3,567.4E-6
602.0E-3,7.400E-3,600.0E-3,581.9E-6
604.0E-3,7.528E-3,602.0E-3,596.7E-6
606.0E-3,7.657E-3,604.0E-3,611.8E-6
608.0E-3,7.786E-3,606.0E-3,627.1E-6
610.0E-3,7.915E-3,608.0E-3,642.7E-6
612.0E-3,8.044E-3,610.0E-3,658.5E-6
614.0E-3,8.174E-3,612.0E-3,674.6E-6
616.0E-3,8.303E-3,614.0E-3,690.9E-6
618.0E-3,8.433E-3,616.0E-3,707.5E-6
620.0E-3,8.562E-3,618.0E-3,724.4E-6
622.0E-3,8.691E-3,620.0E-3,741.5E-6
624.0E-3,8.820E-3,622.0E-3,758.9E-6
626.0E-3,8.949E-3,624.0E-3,776.5E-6
628.0E-3,9.078E-3,626.0E-3,794.4E-6
630.0E-3,9.206E-3,628.0E-3,812.6E-6
632.0E-3,9.334E-3,630.0E-3,831.0E-6
634.0E-3,9.461E-3,632.0E-3,849.7E-6
636.0E-3,9.588E-3,634.0E-3,868.6E-6
638.0E-3,9.715E-3,636.0E-3,887.8E-6
640.0E-3,9.841E-3,638.0E-3,907.2E-6
642.0E-3,9.966E-3,640.0E-3,926.9E-6
644.0E-3,10.09E-3,642.0E-3,946.8E-6
646.0E-3,10.22E-3,644.0E-3,967.0E-6
648.0E-3,10.34E-3,646.0E-3,987.4E-6
650.0E-3,10.46E-3,648.0E-3,1.008E-3
652.0E-3,10.58E-3,650.0E-3,1.029E-3
654.0E-3,10.70E-3,652.0E-3,1.050E-3
656.0E-3,10.83E-3,654.0E-3,1.072E-3
658.0E-3,10.94E-3,656.0E-3,1.093E-3
660.0E-3,11.06E-3,658.0E-3,1.115E-3
662.0E-3,11.18E-3,660.0E-3,1.137E-3
664.0E-3,11.30E-3,662.0E-3,1.160E-3
666.0E-3,11.41E-3,664.0E-3,1.182E-3
668.0E-3,11.53E-3,666.0E-3,1.205E-3
670.0E-3,11.64E-3,668.0E-3,1.228E-3
672.0E-3,11.75E-3,670.0E-3,1.251E-3
674.0E-3,11.87E-3,672.0E-3,1.275E-3
676.0E-3,11.98E-3,674.0E-3,1.299E-3
678.0E-3,12.09E-3,676.0E-3,1.323E-3
680.0E-3,12.19E-3,678.0E-3,1.347E-3
682.0E-3,12.30E-3,680.0E-3,1.371E-3
684.0E-3,12.41E-3,682.0E-3,1.396E-3
686.0E-3,12.51E-3,684.0E-3,1.421E-3
688.0E-3,12.61E-3,686.0E-3,1.446E-3
690.0E-3,12.72E-3,688.0E-3,1.471E-3
692.0E-3,12.82E-3,690.0E-3,1.496E-3
694.0E-3,12.92E-3,692.0E-3,1.522E-3
696.0E-3,13.01E-3,694.0E-3,1.548E-3
698.0E-3,13.11E-3,696.0E-3,1.574E-3
700.0E-3,13.21E-3,698.0E-3,1.600E-3
702.0E-3,13.30E-3,700.0E-3,1.626E-3
704.0E-3,13.39E-3,702.0E-3,1.653E-3
706.0E-3,13.48E-3,704.0E-3,1.680E-3
708.0E-3,13.57E-3,706.0E-3,1.707E-3
710.0E-3,13.66E-3,708.0E-3,1.734E-3
