dc (V),V1:p (W=5.00e-06) (A),V1:p (W=1.00e-05) (A),V1:p (W=1.50e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 5e-06)),dc (V),V1:p (W=2.00e-05) (A)
156.0E-3,623.7E-6,1.249E-3,1.874E-3,158.0E-3,-10.38E-3,-7.784E-3,-5.188E-3,-2.592E-3,156.0E-3,2.499E-3
158.0E-3,618.5E-6,1.238E-3,1.858E-3,160.0E-3,-10.36E-3,-7.770E-3,-5.179E-3,-2.587E-3,158.0E-3,2.478E-3
160.0E-3,613.3E-6,1.228E-3,1.843E-3,162.0E-3,-10.34E-3,-7.756E-3,-5.169E-3,-2.583E-3,160.0E-3,2.457E-3
162.0E-3,608.2E-6,1.217E-3,1.827E-3,164.0E-3,-10.32E-3,-7.741E-3,-5.159E-3,-2.578E-3,162.0E-3,2.437E-3
164.0E-3,603.0E-6,1.207E-3,1.812E-3,166.0E-3,-10.30E-3,-7.727E-3,-5.150E-3,-2.573E-3,164.0E-3,2.416E-3
166.0E-3,597.9E-6,1.197E-3,1.796E-3,168.0E-3,-10.28E-3,-7.712E-3,-5.140E-3,-2.568E-3,166.0E-3,2.395E-3
168.0E-3,592.7E-6,1.187E-3,1.781E-3,170.0E-3,-10.26E-3,-7.697E-3,-5.130E-3,-2.563E-3,168.0E-3,2.375E-3
170.0E-3,587.6E-6,1.176E-3,1.765E-3,172.0E-3,-10.24E-3,-7.682E-3,-5.120E-3,-2.558E-3,170.0E-3,2.354E-3
172.0E-3,582.5E-6,1.166E-3,1.750E-3,174.0E-3,-10.22E-3,-7.667E-3,-5.110E-3,-2.553E-3,172.0E-3,2.334E-3
174.0E-3,577.4E-6,1.156E-3,1.735E-3,176.0E-3,-10.20E-3,-7.651E-3,-5.099E-3,-2.547E-3,174.0E-3,2.313E-3
176.0E-3,572.3E-6,1.146E-3,1.719E-3,178.0E-3,-10.18E-3,-7.636E-3,-5.089E-3,-2.542E-3,176.0E-3,2.293E-3
178.0E-3,567.2E-6,1.135E-3,1.704E-3,180.0E-3,-10.16E-3,-7.620E-3,-5.078E-3,-2.537E-3,178.0E-3,2.272E-3
180.0E-3,562.1E-6,1.125E-3,1.689E-3,182.0E-3,-10.14E-3,-7.604E-3,-5.068E-3,-2.531E-3,180.0E-3,2.252E-3
182.0E-3,557.1E-6,1.115E-3,1.674E-3,184.0E-3,-10.12E-3,-7.588E-3,-5.057E-3,-2.526E-3,182.0E-3,2.232E-3
184.0E-3,552.0E-6,1.105E-3,1.658E-3,186.0E-3,-10.10E-3,-7.572E-3,-5.046E-3,-2.520E-3,184.0E-3,2.212E-3
186.0E-3,547.0E-6,1.095E-3,1.643E-3,188.0E-3,-10.08E-3,-7.556E-3,-5.035E-3,-2.515E-3,186.0E-3,2.191E-3
188.0E-3,541.9E-6,1.085E-3,1.628E-3,190.0E-3,-10.05E-3,-7.539E-3,-5.024E-3,-2.509E-3,188.0E-3,2.171E-3
190.0E-3,536.9E-6,1.075E-3,1.613E-3,192.0E-3,-10.03E-3,-7.522E-3,-5.013E-3,-2.504E-3,190.0E-3,2.151E-3
192.0E-3,531.9E-6,1.065E-3,1.598E-3,194.0E-3,-10.01E-3,-7.505E-3,-5.002E-3,-2.498E-3,192.0E-3,2.131E-3
