dc (V),V5:p (A),dc (V),1/deriv(i("/V5/PLUS" ?result "dc"))
-165.5E-3,394.7E-6,-162.0E-3,-6.247E3
-162.0E-3,394.2E-6,-158.5E-3,-6.240E3
-158.5E-3,393.6E-6,-155.0E-3,-6.233E3
-155.0E-3,393.1E-6,-151.5E-3,-6.226E3
-151.5E-3,392.5E-6,-148.0E-3,-6.219E3
-148.0E-3,391.9E-6,-144.5E-3,-6.212E3
-144.5E-3,391.4E-6,-141.0E-3,-6.205E3
-141.0E-3,390.8E-6,-137.5E-3,-6.198E3
-137.5E-3,390.2E-6,-134.0E-3,-6.191E3
-134.0E-3,389.7E-6,-130.5E-3,-6.184E3
-130.5E-3,389.1E-6,-127.0E-3,-6.177E3
-127.0E-3,388.5E-6,-123.5E-3,-6.169E3
-123.5E-3,388.0E-6,-120.0E-3,-6.162E3
-120.0E-3,387.4E-6,-116.5E-3,-6.155E3
-116.5E-3,386.8E-6,-113.0E-3,-6.148E3
-113.0E-3,386.3E-6,-109.5E-3,-6.140E3
-109.5E-3,385.7E-6,-106.0E-3,-6.133E3
-106.0E-3,385.1E-6,-102.5E-3,-6.125E3
-102.5E-3,384.6E-6,-99.00E-3,-6.118E3
-99.00E-3,384.0E-6,-95.50E-3,-6.110E3
-95.50E-3,383.4E-6,-92.00E-3,-6.103E3
-92.00E-3,382.8E-6,-88.50E-3,-6.095E3
-88.50E-3,382.3E-6,-85.00E-3,-6.088E3
-85.00E-3,381.7E-6,-81.50E-3,-6.080E3
-81.50E-3,381.1E-6,-78.00E-3,-6.072E3
-78.00E-3,380.5E-6,-74.50E-3,-6.064E3
-74.50E-3,380.0E-6,-71.00E-3,-6.057E3
-71.00E-3,379.4E-6,-67.50E-3,-6.049E3
-67.50E-3,378.8E-6,-64.00E-3,-6.041E3
-64.00E-3,378.2E-6,-60.50E-3,-6.033E3
-60.50E-3,377.7E-6,-57.00E-3,-6.025E3
-57.00E-3,377.1E-6,-53.50E-3,-6.017E3
-53.50E-3,376.5E-6,-50.00E-3,-6.009E3
-50.00E-3,375.9E-6,-46.50E-3,-6.001E3
-46.50E-3,375.3E-6,-43.00E-3,-5.993E3
-43.00E-3,374.7E-6,-39.50E-3,-5.985E3
-39.50E-3,374.2E-6,-36.00E-3,-5.976E3
-36.00E-3,373.6E-6,-32.50E-3,-5.968E3
-32.50E-3,373.0E-6,-29.00E-3,-5.960E3
-29.00E-3,372.4E-6,-25.50E-3,-5.951E3
-25.50E-3,371.8E-6,-22.00E-3,-5.943E3
-22.00E-3,371.2E-6,-18.50E-3,-5.935E3
-18.50E-3,370.6E-6,-15.00E-3,-5.926E3
-15.00E-3,370.0E-6,-11.50E-3,-5.918E3
-11.50E-3,369.4E-6,-8.000E-3,-5.909E3
-8.000E-3,368.9E-6,-4.500E-3,-5.900E3
-4.500E-3,368.3E-6,-1.000E-3,-5.892E3
-1.000E-3,367.7E-6,2.500E-3,-5.883E3
2.500E-3,367.1E-6,6.000E-3,-5.874E3
6.000E-3,366.5E-6,9.500E-3,-5.866E3
9.500E-3,365.9E-6,13.00E-3,-5.857E3
13.00E-3,365.3E-6,16.50E-3,-5.848E3
16.50E-3,364.7E-6,20.00E-3,-5.839E3
20.00E-3,364.1E-6,23.50E-3,-5.830E3
23.50E-3,363.5E-6,27.00E-3,-5.821E3
27.00E-3,362.9E-6,30.50E-3,-5.812E3
30.50E-3,362.3E-6,34.00E-3,-5.802E3
34.00E-3,361.7E-6,37.50E-3,-5.793E3
37.50E-3,361.1E-6,41.00E-3,-5.784E3
41.00E-3,360.5E-6,44.50E-3,-5.775E3
44.50E-3,359.9E-6,48.00E-3,-5.765E3
48.00E-3,359.3E-6,51.50E-3,-5.756E3
51.50E-3,358.6E-6,55.00E-3,-5.747E3
55.00E-3,358.0E-6,58.50E-3,-5.737E3
58.50E-3,357.4E-6,62.00E-3,-5.727E3
62.00E-3,356.8E-6,65.50E-3,-5.718E3
65.50E-3,356.2E-6,69.00E-3,-5.708E3
69.00E-3,355.6E-6,72.50E-3,-5.698E3
72.50E-3,355.0E-6,76.00E-3,-5.689E3
76.00E-3,354.4E-6,79.50E-3,-5.679E3
79.50E-3,353.7E-6,83.00E-3,-5.669E3
83.00E-3,353.1E-6,86.50E-3,-5.659E3
86.50E-3,352.5E-6,90.00E-3,-5.649E3
90.00E-3,351.9E-6,93.50E-3,-5.639E3
93.50E-3,351.3E-6,97.00E-3,-5.629E3
97.00E-3,350.6E-6,100.5E-3,-5.619E3
100.5E-3,350.0E-6,104.0E-3,-5.608E3
104.0E-3,349.4E-6,107.5E-3,-5.598E3
107.5E-3,348.8E-6,111.0E-3,-5.588E3
111.0E-3,348.1E-6,114.5E-3,-5.577E3
114.5E-3,347.5E-6,118.0E-3,-5.567E3
118.0E-3,346.9E-6,121.5E-3,-5.556E3
121.5E-3,346.3E-6,125.0E-3,-5.546E3
125.0E-3,345.6E-6,128.5E-3,-5.535E3
128.5E-3,345.0E-6,132.0E-3,-5.524E3
132.0E-3,344.4E-6,135.5E-3,-5.513E3
135.5E-3,343.7E-6,139.0E-3,-5.503E3
139.0E-3,343.1E-6,142.5E-3,-5.492E3
142.5E-3,342.5E-6,146.0E-3,-5.481E3
146.0E-3,341.8E-6,149.5E-3,-5.470E3
149.5E-3,341.2E-6,153.0E-3,-5.459E3
153.0E-3,340.5E-6,156.5E-3,-5.447E3
156.5E-3,339.9E-6,160.0E-3,-5.436E3
160.0E-3,339.3E-6,163.5E-3,-5.425E3
163.5E-3,338.6E-6,167.0E-3,-5.413E3
167.0E-3,338.0E-6,170.5E-3,-5.402E3
170.5E-3,337.3E-6,174.0E-3,-5.390E3
174.0E-3,336.7E-6,177.5E-3,-5.379E3
177.5E-3,336.0E-6,181.0E-3,-5.367E3
181.0E-3,335.4E-6,184.5E-3,-5.355E3
184.5E-3,334.7E-6,188.0E-3,-5.344E3
188.0E-3,334.1E-6,191.5E-3,-5.332E3
191.5E-3,333.4E-6,195.0E-3,-5.320E3
195.0E-3,332.7E-6,198.5E-3,-5.308E3
198.5E-3,332.1E-6,202.0E-3,-5.296E3
202.0E-3,331.4E-6,205.5E-3,-5.283E3
205.5E-3,330.8E-6,209.0E-3,-5.271E3
209.0E-3,330.1E-6,212.5E-3,-5.259E3
212.5E-3,329.4E-6,216.0E-3,-5.246E3
216.0E-3,328.8E-6,219.5E-3,-5.234E3
219.5E-3,328.1E-6,223.0E-3,-5.221E3
223.0E-3,327.4E-6,226.5E-3,-5.209E3
226.5E-3,326.7E-6,230.0E-3,-5.196E3
230.0E-3,326.1E-6,233.5E-3,-5.183E3
233.5E-3,325.4E-6,237.0E-3,-5.170E3
237.0E-3,324.7E-6,240.5E-3,-5.157E3
240.5E-3,324.0E-6,244.0E-3,-5.144E3
244.0E-3,323.4E-6,247.5E-3,-5.131E3
247.5E-3,322.7E-6,251.0E-3,-5.117E3
251.0E-3,322.0E-6,254.5E-3,-5.104E3
254.5E-3,321.3E-6,258.0E-3,-5.091E3
258.0E-3,320.6E-6,261.5E-3,-5.077E3
261.5E-3,319.9E-6,265.0E-3,-5.063E3
265.0E-3,319.2E-6,268.5E-3,-5.050E3
268.5E-3,318.5E-6,272.0E-3,-5.036E3
272.0E-3,317.9E-6,275.5E-3,-5.022E3
275.5E-3,317.2E-6,279.0E-3,-5.008E3
279.0E-3,316.5E-6,282.5E-3,-4.993E3
282.5E-3,315.8E-6,286.0E-3,-4.979E3
286.0E-3,315.1E-6,289.5E-3,-4.965E3
289.5E-3,314.3E-6,293.0E-3,-4.950E3
293.0E-3,313.6E-6,296.5E-3,-4.936E3
296.5E-3,312.9E-6,300.0E-3,-4.921E3
300.0E-3,312.2E-6,303.5E-3,-4.906E3
303.5E-3,311.5E-6,307.0E-3,-4.891E3
307.0E-3,310.8E-6,310.5E-3,-4.876E3
310.5E-3,310.1E-6,314.0E-3,-4.861E3
314.0E-3,309.4E-6,317.5E-3,-4.846E3
317.5E-3,308.6E-6,321.0E-3,-4.830E3
321.0E-3,307.9E-6,324.5E-3,-4.814E3
324.5E-3,307.2E-6,328.0E-3,-4.799E3
328.0E-3,306.5E-6,331.5E-3,-4.783E3
331.5E-3,305.7E-6,335.0E-3,-4.767E3
335.0E-3,305.0E-6,338.5E-3,-4.751E3
338.5E-3,304.2E-6,342.0E-3,-4.734E3
342.0E-3,303.5E-6,345.5E-3,-4.718E3
345.5E-3,302.8E-6,349.0E-3,-4.701E3
349.0E-3,302.0E-6,352.5E-3,-4.685E3
352.5E-3,301.3E-6,356.0E-3,-4.668E3
356.0E-3,300.5E-6,359.5E-3,-4.651E3
359.5E-3,299.8E-6,363.0E-3,-4.634E3
