dc (V),NM1:d (A),dc (V),1/deriv(i("/NM1/D" ?result "dc"))
406.0E-3,419.8E-6,408.0E-3,2.503E3
408.0E-3,420.6E-6,410.0E-3,2.509E3
410.0E-3,421.4E-6,412.0E-3,2.515E3
412.0E-3,422.2E-6,414.0E-3,2.521E3
414.0E-3,423.0E-6,416.0E-3,2.527E3
416.0E-3,423.8E-6,418.0E-3,2.533E3
418.0E-3,424.6E-6,420.0E-3,2.539E3
420.0E-3,425.4E-6,422.0E-3,2.545E3
422.0E-3,426.2E-6,424.0E-3,2.551E3
424.0E-3,426.9E-6,426.0E-3,2.557E3
426.0E-3,427.7E-6,428.0E-3,2.563E3
428.0E-3,428.5E-6,430.0E-3,2.569E3
430.0E-3,429.3E-6,432.0E-3,2.575E3
432.0E-3,430.1E-6,434.0E-3,2.582E3
434.0E-3,430.8E-6,436.0E-3,2.588E3
436.0E-3,431.6E-6,438.0E-3,2.594E3
438.0E-3,432.4E-6,440.0E-3,2.600E3
440.0E-3,433.2E-6,442.0E-3,2.606E3
442.0E-3,433.9E-6,444.0E-3,2.612E3
444.0E-3,434.7E-6,446.0E-3,2.618E3
446.0E-3,435.5E-6,448.0E-3,2.625E3
448.0E-3,436.2E-6,450.0E-3,2.631E3
450.0E-3,437.0E-6,452.0E-3,2.637E3
452.0E-3,437.7E-6,454.0E-3,2.643E3
454.0E-3,438.5E-6,456.0E-3,2.649E3
456.0E-3,439.2E-6,458.0E-3,2.656E3
458.0E-3,440.0E-6,460.0E-3,2.662E3
460.0E-3,440.7E-6,462.0E-3,2.668E3
462.0E-3,441.5E-6,464.0E-3,2.674E3
464.0E-3,442.2E-6,466.0E-3,2.681E3
466.0E-3,443.0E-6,468.0E-3,2.687E3
468.0E-3,443.7E-6,470.0E-3,2.693E3
470.0E-3,444.5E-6,472.0E-3,2.699E3
472.0E-3,445.2E-6,474.0E-3,2.706E3
474.0E-3,446.0E-6,476.0E-3,2.712E3
476.0E-3,446.7E-6,478.0E-3,2.718E3
478.0E-3,447.4E-6,480.0E-3,2.724E3
480.0E-3,448.2E-6,482.0E-3,2.731E3
482.0E-3,448.9E-6,484.0E-3,2.737E3
484.0E-3,449.6E-6,486.0E-3,2.743E3
486.0E-3,450.4E-6,488.0E-3,2.750E3
488.0E-3,451.1E-6,490.0E-3,2.756E3
490.0E-3,451.8E-6,492.0E-3,2.762E3
492.0E-3,452.5E-6,494.0E-3,2.768E3
494.0E-3,453.3E-6,496.0E-3,2.775E3
496.0E-3,454.0E-6,498.0E-3,2.781E3
498.0E-3,454.7E-6,500.0E-3,2.787E3
500.0E-3,455.4E-6,502.0E-3,2.794E3
502.0E-3,456.1E-6,504.0E-3,2.800E3
504.0E-3,456.8E-6,506.0E-3,2.806E3
506.0E-3,457.6E-6,508.0E-3,2.813E3
508.0E-3,458.3E-6,510.0E-3,2.819E3
510.0E-3,459.0E-6,512.0E-3,2.825E3
512.0E-3,459.7E-6,514.0E-3,2.832E3
514.0E-3,460.4E-6,516.0E-3,2.838E3
516.0E-3,461.1E-6,518.0E-3,2.844E3
518.0E-3,461.8E-6,520.0E-3,2.850E3
520.0E-3,462.5E-6,522.0E-3,2.857E3
522.0E-3,463.2E-6,524.0E-3,2.863E3
524.0E-3,463.9E-6,526.0E-3,2.869E3
526.0E-3,464.6E-6,528.0E-3,2.876E3
528.0E-3,465.3E-6,530.0E-3,2.882E3
530.0E-3,466.0E-6,532.0E-3,2.888E3
532.0E-3,466.7E-6,534.0E-3,2.895E3
534.0E-3,467.4E-6,536.0E-3,2.901E3
536.0E-3,468.1E-6,538.0E-3,2.907E3
538.0E-3,468.7E-6,540.0E-3,2.914E3
540.0E-3,469.4E-6,542.0E-3,2.920E3
542.0E-3,470.1E-6,544.0E-3,2.926E3
544.0E-3,470.8E-6,546.0E-3,2.933E3
546.0E-3,471.5E-6,548.0E-3,2.939E3
548.0E-3,472.2E-6,550.0E-3,2.945E3
550.0E-3,472.8E-6,552.0E-3,2.952E3
552.0E-3,473.5E-6,554.0E-3,2.958E3
554.0E-3,474.2E-6,556.0E-3,2.964E3
556.0E-3,474.9E-6,558.0E-3,2.971E3
558.0E-3,475.5E-6,560.0E-3,2.977E3
560.0E-3,476.2E-6,562.0E-3,2.983E3
562.0E-3,476.9E-6,564.0E-3,2.989E3
564.0E-3,477.6E-6,566.0E-3,2.996E3
566.0E-3,478.2E-6,568.0E-3,3.002E3
568.0E-3,478.9E-6,570.0E-3,3.008E3
570.0E-3,479.6E-6,572.0E-3,3.015E3
572.0E-3,480.2E-6,574.0E-3,3.021E3
574.0E-3,480.9E-6,576.0E-3,3.027E3
576.0E-3,481.5E-6,578.0E-3,3.033E3
578.0E-3,482.2E-6,580.0E-3,3.040E3
580.0E-3,482.9E-6,582.0E-3,3.046E3
582.0E-3,483.5E-6,584.0E-3,3.052E3
584.0E-3,484.2E-6,586.0E-3,3.058E3
586.0E-3,484.8E-6,588.0E-3,3.065E3
588.0E-3,485.5E-6,590.0E-3,3.071E3
590.0E-3,486.1E-6,592.0E-3,3.077E3
592.0E-3,486.8E-6,594.0E-3,3.083E3
594.0E-3,487.4E-6,596.0E-3,3.090E3
596.0E-3,488.1E-6,598.0E-3,3.096E3
598.0E-3,488.7E-6,600.0E-3,3.102E3
600.0E-3,489.4E-6,602.0E-3,3.108E3
602.0E-3,490.0E-6,604.0E-3,3.115E3
604.0E-3,490.7E-6,606.0E-3,3.121E3
606.0E-3,491.3E-6,608.0E-3,3.127E3
608.0E-3,491.9E-6,610.0E-3,3.133E3
610.0E-3,492.6E-6,612.0E-3,3.139E3
612.0E-3,493.2E-6,614.0E-3,3.146E3
614.0E-3,493.8E-6,616.0E-3,3.152E3
616.0E-3,494.5E-6,618.0E-3,3.158E3
618.0E-3,495.1E-6,620.0E-3,3.164E3
620.0E-3,495.7E-6,622.0E-3,3.170E3
622.0E-3,496.4E-6,624.0E-3,3.176E3
624.0E-3,497.0E-6,626.0E-3,3.183E3
626.0E-3,497.6E-6,628.0E-3,3.189E3
