dc (V),V1:p (Wn=5.00e-06) (A),V1:p (Wn=1.00e-05) (A),V1:p (Wn=1.50e-05) (A),V1:p (Wn=2.50e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 2.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 2e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 1.5e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "Wn" 1e-05)),dc (V),V1:p (Wn=2.00e-05) (A)
132.0E-3,135.4E-6,270.3E-6,405.3E-6,675.1E-6,134.0E-3,-7.404E-3,-5.921E-3,-4.439E-3,-2.956E-3,132.0E-3,540.2E-6
134.0E-3,132.4E-6,264.4E-6,396.4E-6,660.3E-6,136.0E-3,-7.316E-3,-5.851E-3,-4.386E-3,-2.921E-3,134.0E-3,528.4E-6
136.0E-3,129.5E-6,258.5E-6,387.6E-6,645.7E-6,138.0E-3,-7.227E-3,-5.780E-3,-4.333E-3,-2.886E-3,136.0E-3,516.7E-6
138.0E-3,126.6E-6,252.8E-6,378.9E-6,631.2E-6,140.0E-3,-7.138E-3,-5.709E-3,-4.280E-3,-2.850E-3,138.0E-3,505.1E-6
140.0E-3,123.8E-6,247.1E-6,370.4E-6,616.9E-6,142.0E-3,-7.048E-3,-5.637E-3,-4.226E-3,-2.815E-3,140.0E-3,493.7E-6
142.0E-3,121.0E-6,241.4E-6,361.9E-6,602.8E-6,144.0E-3,-6.958E-3,-5.565E-3,-4.172E-3,-2.778E-3,142.0E-3,482.4E-6
144.0E-3,118.2E-6,235.9E-6,353.6E-6,588.9E-6,146.0E-3,-6.867E-3,-5.492E-3,-4.117E-3,-2.742E-3,144.0E-3,471.3E-6
146.0E-3,115.5E-6,230.4E-6,345.4E-6,575.2E-6,148.0E-3,-6.775E-3,-5.419E-3,-4.062E-3,-2.706E-3,146.0E-3,460.3E-6
148.0E-3,112.8E-6,225.0E-6,337.2E-6,561.6E-6,150.0E-3,-6.683E-3,-5.345E-3,-4.007E-3,-2.669E-3,148.0E-3,449.5E-6
150.0E-3,110.1E-6,219.6E-6,329.2E-6,548.3E-6,152.0E-3,-6.590E-3,-5.271E-3,-3.952E-3,-2.632E-3,150.0E-3,438.8E-6
152.0E-3,107.5E-6,214.4E-6,321.3E-6,535.1E-6,154.0E-3,-6.497E-3,-5.196E-3,-3.896E-3,-2.595E-3,152.0E-3,428.2E-6
154.0E-3,104.9E-6,209.2E-6,313.5E-6,522.1E-6,156.0E-3,-6.404E-3,-5.122E-3,-3.840E-3,-2.558E-3,154.0E-3,417.8E-6
156.0E-3,102.3E-6,204.1E-6,305.8E-6,509.3E-6,158.0E-3,-6.310E-3,-5.047E-3,-3.784E-3,-2.520E-3,156.0E-3,407.6E-6
158.0E-3,99.82E-6,199.0E-6,298.3E-6,496.7E-6,160.0E-3,-6.215E-3,-4.971E-3,-3.727E-3,-2.483E-3,158.0E-3,397.5E-6
160.0E-3,97.34E-6,194.1E-6,290.8E-6,484.3E-6,162.0E-3,-6.121E-3,-4.896E-3,-3.670E-3,-2.445E-3,160.0E-3,387.5E-6
162.0E-3,94.90E-6,189.2E-6,283.5E-6,472.0E-6,164.0E-3,-6.026E-3,-4.820E-3,-3.614E-3,-2.407E-3,162.0E-3,377.8E-6
164.0E-3,92.49E-6,184.4E-6,276.3E-6,460.0E-6,166.0E-3,-5.931E-3,-4.744E-3,-3.557E-3,-2.369E-3,164.0E-3,368.1E-6
166.0E-3,90.13E-6,179.6E-6,269.1E-6,448.1E-6,168.0E-3,-5.835E-3,-4.667E-3,-3.499E-3,-2.331E-3,166.0E-3,358.6E-6
168.0E-3,87.80E-6,175.0E-6,262.1E-6,436.4E-6,170.0E-3,-5.740E-3,-4.591E-3,-3.442E-3,-2.293E-3,168.0E-3,349.3E-6
170.0E-3,85.51E-6,170.4E-6,255.3E-6,424.9E-6,172.0E-3,-5.644E-3,-4.514E-3,-3.385E-3,-2.255E-3,170.0E-3,340.1E-6
172.0E-3,83.25E-6,165.9E-6,248.5E-6,413.7E-6,174.0E-3,-5.548E-3,-4.438E-3,-3.327E-3,-2.217E-3,172.0E-3,331.1E-6
174.0E-3,81.04E-6,161.4E-6,241.8E-6,402.6E-6,176.0E-3,-5.452E-3,-4.361E-3,-3.270E-3,-2.178E-3,174.0E-3,322.2E-6
176.0E-3,78.86E-6,157.1E-6,235.3E-6,391.7E-6,178.0E-3,-5.356E-3,-4.284E-3,-3.212E-3,-2.140E-3,176.0E-3,313.5E-6
178.0E-3,76.72E-6,152.8E-6,228.9E-6,380.9E-6,180.0E-3,-5.260E-3,-4.208E-3,-3.155E-3,-2.102E-3,178.0E-3,304.9E-6
180.0E-3,74.62E-6,148.6E-6,222.6E-6,370.4E-6,182.0E-3,-5.165E-3,-4.131E-3,-3.098E-3,-2.064E-3,180.0E-3,296.5E-6
182.0E-3,72.56E-6,144.5E-6,216.4E-6,360.1E-6,184.0E-3,-5.069E-3,-4.055E-3,-3.040E-3,-2.026E-3,182.0E-3,288.2E-6
184.0E-3,70.53E-6,140.4E-6,210.3E-6,350.0E-6,186.0E-3,-4.973E-3,-3.978E-3,-2.983E-3,-1.988E-3,184.0E-3,280.1E-6
186.0E-3,68.55E-6,136.4E-6,204.3E-6,340.0E-6,188.0E-3,-4.878E-3,-3.902E-3,-2.926E-3,-1.949E-3,186.0E-3,272.2E-6
188.0E-3,66.60E-6,132.5E-6,198.5E-6,330.3E-6,190.0E-3,-4.783E-3,-3.826E-3,-2.869E-3,-1.912E-3,188.0E-3,264.4E-6
190.0E-3,64.69E-6,128.7E-6,192.7E-6,320.7E-6,192.0E-3,-4.688E-3,-3.750E-3,-2.812E-3,-1.874E-3,190.0E-3,256.7E-6
192.0E-3,62.81E-6,125.0E-6,187.1E-6,311.3E-6,194.0E-3,-4.593E-3,-3.674E-3,-2.755E-3,-1.836E-3,192.0E-3,249.2E-6
194.0E-3,60.98E-6,121.3E-6,181.6E-6,302.1E-6,196.0E-3,-4.499E-3,-3.599E-3,-2.699E-3,-1.798E-3,194.0E-3,241.9E-6
196.0E-3,59.18E-6,117.7E-6,176.2E-6,293.1E-6,198.0E-3,-4.405E-3,-3.524E-3,-2.643E-3,-1.761E-3,196.0E-3,234.7E-6
198.0E-3,57.42E-6,114.2E-6,170.9E-6,284.3E-6,200.0E-3,-4.312E-3,-3.449E-3,-2.587E-3,-1.724E-3,198.0E-3,227.6E-6
200.0E-3,55.69E-6,110.7E-6,165.7E-6,275.7E-6,202.0E-3,-4.219E-3,-3.375E-3,-2.531E-3,-1.687E-3,200.0E-3,220.7E-6
202.0E-3,54.01E-6,107.4E-6,160.7E-6,267.3E-6,204.0E-3,-4.126E-3,-3.301E-3,-2.476E-3,-1.650E-3,202.0E-3,214.0E-6
204.0E-3,52.35E-6,104.1E-6,155.7E-6,259.0E-6,206.0E-3,-4.035E-3,-3.228E-3,-2.421E-3,-1.614E-3,204.0E-3,207.4E-6
206.0E-3,50.74E-6,100.8E-6,150.9E-6,250.9E-6,208.0E-3,-3.944E-3,-3.155E-3,-2.366E-3,-1.577E-3,206.0E-3,200.9E-6
208.0E-3,49.16E-6,97.67E-6,146.2E-6,243.1E-6,210.0E-3,-3.853E-3,-3.083E-3,-2.312E-3,-1.541E-3,208.0E-3,194.6E-6
