dc (V),NM0:d (W=1.00e-06) (A),NM0:d (W=6.00e-06) (A),NM0:d (W=1.10e-05) (A),NM0:d (W=1.60e-05) (A),NM0:d (W=2.10e-05) (A),NM0:d (W=2.60e-05) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "W" 2.1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 1.6e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 1.1e-05)),deriv(value(getData("/NM0/D" ?result "dc") "W" 2.6e-05))
180.0E-3,1.965E-9,6.250E-9,10.58E-9,14.91E-9,19.24E-9,23.57E-9,182.0E-3,683.3E-9,529.3E-9,375.3E-9,837.2E-9
182.0E-3,2.104E-9,6.692E-9,11.33E-9,15.97E-9,20.61E-9,25.25E-9,184.0E-3,731.0E-9,566.3E-9,401.5E-9,895.7E-9
184.0E-3,2.251E-9,7.166E-9,12.13E-9,17.10E-9,22.07E-9,27.04E-9,186.0E-3,782.0E-9,605.7E-9,429.5E-9,958.2E-9
186.0E-3,2.409E-9,7.672E-9,12.99E-9,18.31E-9,23.63E-9,28.96E-9,188.0E-3,836.4E-9,647.9E-9,459.3E-9,1.025E-6
188.0E-3,2.577E-9,8.213E-9,13.91E-9,19.61E-9,25.31E-9,31.01E-9,190.0E-3,894.6E-9,692.9E-9,491.2E-9,1.096E-6
190.0E-3,2.757E-9,8.792E-9,14.89E-9,21.00E-9,27.10E-9,33.20E-9,192.0E-3,956.7E-9,741.0E-9,525.3E-9,1.172E-6
192.0E-3,2.950E-9,9.411E-9,15.94E-9,22.48E-9,29.01E-9,35.54E-9,194.0E-3,1.023E-6,792.4E-9,561.7E-9,1.254E-6
194.0E-3,3.155E-9,10.07E-9,17.07E-9,24.06E-9,31.06E-9,38.05E-9,196.0E-3,1.094E-6,847.2E-9,600.5E-9,1.341E-6
196.0E-3,3.374E-9,10.78E-9,18.27E-9,25.76E-9,33.24E-9,40.73E-9,198.0E-3,1.170E-6,905.7E-9,641.9E-9,1.433E-6
198.0E-3,3.609E-9,11.54E-9,19.55E-9,27.57E-9,35.58E-9,43.60E-9,200.0E-3,1.250E-6,968.2E-9,686.2E-9,1.532E-6
200.0E-3,3.859E-9,12.34E-9,20.93E-9,29.50E-9,38.08E-9,46.66E-9,202.0E-3,1.336E-6,1.035E-6,733.4E-9,1.638E-6
202.0E-3,4.126E-9,13.21E-9,22.39E-9,31.57E-9,40.76E-9,49.94E-9,204.0E-3,1.428E-6,1.106E-6,783.7E-9,1.750E-6
204.0E-3,4.411E-9,14.13E-9,23.96E-9,33.79E-9,43.61E-9,53.44E-9,206.0E-3,1.526E-6,1.182E-6,837.5E-9,1.871E-6
206.0E-3,4.715E-9,15.12E-9,25.63E-9,36.15E-9,46.67E-9,57.18E-9,208.0E-3,1.631E-6,1.263E-6,894.8E-9,1.999E-6
208.0E-3,5.039E-9,16.17E-9,27.42E-9,38.68E-9,49.93E-9,61.18E-9,210.0E-3,1.743E-6,1.349E-6,955.9E-9,2.136E-6
210.0E-3,5.386E-9,17.29E-9,29.34E-9,41.37E-9,53.41E-9,65.45E-9,212.0E-3,1.862E-6,1.441E-6,1.021E-6,2.282E-6
212.0E-3,5.755E-9,18.49E-9,31.38E-9,44.26E-9,57.14E-9,70.01E-9,214.0E-3,1.988E-6,1.540E-6,1.091E-6,2.437E-6
214.0E-3,6.149E-9,19.78E-9,33.56E-9,47.34E-9,61.11E-9,74.89E-9,216.0E-3,2.124E-6,1.644E-6,1.165E-6,2.603E-6
216.0E-3,6.569E-9,21.15E-9,35.89E-9,50.63E-9,65.36E-9,80.09E-9,218.0E-3,2.268E-6,1.756E-6,1.244E-6,2.780E-6
218.0E-3,7.017E-9,22.61E-9,38.37E-9,54.14E-9,69.90E-9,85.65E-9,220.0E-3,2.422E-6,1.875E-6,1.328E-6,2.968E-6
220.0E-3,7.495E-9,24.17E-9,41.03E-9,57.89E-9,74.74E-9,91.59E-9,222.0E-3,2.585E-6,2.001E-6,1.417E-6,3.169E-6
222.0E-3,8.004E-9,25.83E-9,43.86E-9,61.89E-9,79.91E-9,97.93E-9,224.0E-3,2.760E-6,2.136E-6,1.513E-6,3.383E-6
224.0E-3,8.546E-9,27.61E-9,46.89E-9,66.16E-9,85.43E-9,104.7E-9,226.0E-3,2.945E-6,2.280E-6,1.614E-6,3.611E-6
226.0E-3,9.124E-9,29.51E-9,50.12E-9,70.72E-9,91.32E-9,111.9E-9,228.0E-3,3.143E-6,2.433E-6,1.722E-6,3.853E-6
228.0E-3,9.739E-9,31.53E-9,53.56E-9,75.59E-9,97.61E-9,119.6E-9,230.0E-3,3.354E-6,2.596E-6,1.838E-6,4.112E-6
230.0E-3,10.39E-9,33.69E-9,57.24E-9,80.78E-9,104.3E-9,127.8E-9,232.0E-3,3.578E-6,2.769E-6,1.960E-6,4.387E-6
232.0E-3,11.09E-9,35.99E-9,61.16E-9,86.32E-9,111.5E-9,136.6E-9,234.0E-3,3.817E-6,2.954E-6,2.091E-6,4.679E-6
234.0E-3,11.84E-9,38.44E-9,65.34E-9,92.23E-9,119.1E-9,146.0E-9,236.0E-3,4.071E-6,3.150E-6,2.229E-6,4.991E-6
236.0E-3,12.63E-9,41.06E-9,69.80E-9,98.53E-9,127.2E-9,156.0E-9,238.0E-3,4.341E-6,3.359E-6,2.377E-6,5.322E-6
238.0E-3,13.47E-9,43.84E-9,74.55E-9,105.2E-9,135.9E-9,166.6E-9,240.0E-3,4.628E-6,3.581E-6,2.534E-6,5.675E-6
240.0E-3,14.37E-9,46.81E-9,79.62E-9,112.4E-9,145.2E-9,178.0E-9,242.0E-3,4.934E-6,3.817E-6,2.701E-6,6.049E-6
242.0E-3,15.32E-9,49.98E-9,85.02E-9,120.0E-9,155.0E-9,190.1E-9,244.0E-3,5.258E-6,4.069E-6,2.878E-6,6.448E-6
244.0E-3,16.33E-9,53.35E-9,90.78E-9,128.2E-9,165.6E-9,202.9E-9,246.0E-3,5.603E-6,4.335E-6,3.067E-6,6.871E-6
246.0E-3,17.41E-9,56.95E-9,96.91E-9,136.8E-9,176.8E-9,216.7E-9,248.0E-3,5.970E-6,4.619E-6,3.267E-6,7.321E-6
248.0E-3,18.55E-9,60.77E-9,103.4E-9,146.1E-9,188.7E-9,231.3E-9,250.0E-3,6.360E-6,4.920E-6,3.480E-6,7.799E-6
250.0E-3,19.77E-9,64.85E-9,110.4E-9,155.9E-9,201.4E-9,246.9E-9,252.0E-3,6.773E-6,5.240E-6,3.705E-6,8.307E-6
252.0E-3,21.06E-9,69.19E-9,117.8E-9,166.4E-9,215.0E-9,263.5E-9,254.0E-3,7.213E-6,5.579E-6,3.945E-6,8.846E-6
254.0E-3,22.44E-9,73.80E-9,125.7E-9,177.6E-9,229.4E-9,281.2E-9,256.0E-3,7.679E-6,5.940E-6,4.199E-6,9.418E-6
256.0E-3,23.90E-9,78.72E-9,134.1E-9,189.4E-9,244.8E-9,300.1E-9,258.0E-3,8.174E-6,6.322E-6,4.469E-6,10.03E-6
258.0E-3,25.45E-9,83.94E-9,143.0E-9,202.1E-9,261.1E-9,320.1E-9,260.0E-3,8.699E-6,6.728E-6,4.755E-6,10.67E-6
260.0E-3,27.09E-9,89.51E-9,152.6E-9,215.5E-9,278.5E-9,341.5E-9,262.0E-3,9.255E-6,7.158E-6,5.059E-6,11.35E-6
262.0E-3,28.84E-9,95.42E-9,162.7E-9,229.9E-9,297.0E-9,364.2E-9,264.0E-3,9.846E-6,7.614E-6,5.380E-6,12.08E-6
264.0E-3,30.69E-9,101.7E-9,173.4E-9,245.1E-9,316.7E-9,388.3E-9,266.0E-3,10.47E-6,8.097E-6,5.721E-6,12.84E-6
266.0E-3,32.65E-9,108.4E-9,184.9E-9,261.3E-9,337.7E-9,414.0E-9,268.0E-3,11.13E-6,8.609E-6,6.082E-6,13.66E-6
268.0E-3,34.73E-9,115.5E-9,197.0E-9,278.5E-9,359.9E-9,441.3E-9,270.0E-3,11.84E-6,9.151E-6,6.465E-6,14.52E-6
270.0E-3,36.94E-9,123.0E-9,210.0E-9,296.8E-9,383.6E-9,470.4E-9,272.0E-3,12.58E-6,9.726E-6,6.870E-6,15.43E-6
272.0E-3,39.27E-9,131.1E-9,223.7E-9,316.3E-9,408.8E-9,501.2E-9,274.0E-3,13.37E-6,10.33E-6,7.298E-6,16.40E-6
274.0E-3,41.75E-9,139.6E-9,238.3E-9,336.9E-9,435.5E-9,534.0E-9,276.0E-3,14.20E-6,10.98E-6,7.751E-6,17.42E-6
276.0E-3,44.37E-9,148.6E-9,253.8E-9,358.9E-9,463.9E-9,568.9E-9,278.0E-3,15.08E-6,11.66E-6,8.231E-6,18.50E-6
278.0E-3,47.15E-9,158.2E-9,270.3E-9,382.2E-9,494.1E-9,605.9E-9,280.0E-3,16.01E-6,12.38E-6,8.738E-6,19.65E-6
280.0E-3,50.09E-9,168.4E-9,287.7E-9,406.9E-9,526.1E-9,645.2E-9,282.0E-3,17.00E-6,13.14E-6,9.273E-6,20.86E-6
282.0E-3,53.20E-9,179.2E-9,306.3E-9,433.2E-9,560.1E-9,686.9E-9,284.0E-3,18.04E-6,13.94E-6,9.839E-6,22.14E-6
284.0E-3,56.49E-9,190.7E-9,326.0E-9,461.1E-9,596.2E-9,731.2E-9,286.0E-3,19.14E-6,14.79E-6,10.44E-6,23.49E-6
286.0E-3,59.97E-9,202.8E-9,346.8E-9,490.7E-9,634.4E-9,778.2E-9,288.0E-3,20.30E-6,15.69E-6,11.07E-6,24.92E-6
288.0E-3,63.65E-9,215.7E-9,369.0E-9,522.0E-9,675.0E-9,828.0E-9,290.0E-3,21.53E-6,16.63E-6,11.73E-6,26.42E-6
290.0E-3,67.53E-9,229.3E-9,392.4E-9,555.3E-9,718.1E-9,880.8E-9,292.0E-3,22.82E-6,17.63E-6,12.44E-6,28.01E-6
292.0E-3,71.64E-9,243.8E-9,417.3E-9,590.6E-9,763.7E-9,936.9E-9,294.0E-3,24.19E-6,18.68E-6,13.18E-6,29.69E-6
294.0E-3,75.97E-9,259.1E-9,443.7E-9,627.9E-9,812.1E-9,996.2E-9,296.0E-3,25.63E-6,19.79E-6,13.96E-6,31.46E-6
296.0E-3,80.55E-9,275.3E-9,471.6E-9,667.5E-9,863.4E-9,1.059E-6,298.0E-3,27.14E-6,20.97E-6,14.78E-6,33.32E-6
298.0E-3,85.38E-9,292.5E-9,501.2E-9,709.5E-9,917.7E-9,1.126E-6,300.0E-3,28.74E-6,22.20E-6,15.65E-6,35.29E-6
300.0E-3,90.48E-9,310.7E-9,532.5E-9,753.9E-9,975.1E-9,1.196E-6,302.0E-3,30.43E-6,23.50E-6,16.56E-6,37.35E-6
302.0E-3,95.85E-9,329.9E-9,565.6E-9,800.9E-9,1.036E-6,1.271E-6,304.0E-3,32.20E-6,24.86E-6,17.52E-6,39.53E-6
304.0E-3,101.5E-9,350.2E-9,600.6E-9,850.6E-9,1.100E-6,1.350E-6,306.0E-3,34.06E-6,26.30E-6,18.53E-6,41.83E-6
306.0E-3,107.5E-9,371.7E-9,637.7E-9,903.2E-9,1.169E-6,1.434E-6,308.0E-3,36.03E-6,27.81E-6,19.59E-6,44.24E-6
308.0E-3,113.8E-9,394.4E-9,676.9E-9,958.8E-9,1.241E-6,1.522E-6,310.0E-3,38.09E-6,29.40E-6,20.71E-6,46.77E-6
310.0E-3,120.4E-9,418.4E-9,718.3E-9,1.018E-6,1.317E-6,1.616E-6,312.0E-3,40.26E-6,31.08E-6,21.89E-6,49.44E-6
312.0E-3,127.4E-9,443.7E-9,762.1E-9,1.080E-6,1.397E-6,1.715E-6,314.0E-3,42.54E-6,32.83E-6,23.12E-6,52.24E-6
