dc (V),V1:p (W=3.00e-06) (A),V1:p (W=6.00e-06) (A),V1:p (W=9.00e-06) (A),V1:p (W=1.20e-05) (A),V1:p (W=1.50e-05) (A),V1:p (W=1.80e-05) (A),V1:p (W=2.10e-05) (A),V1:p (W=2.70e-05) (A),V1:p (W=3.00e-05) (A),dc (V),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 3e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.7e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.4e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 2.1e-05)),deriv(value(getData("/V1/PLUS" ?result "dc") "W" 1.8e-05)),dc (V),V1:p (W=2.40e-05) (A)
84.00E-3,489.3E-6,979.0E-6,1.470E-3,1.960E-3,2.451E-3,2.941E-3,3.431E-3,4.412E-3,4.903E-3,86.00E-3,-16.41E-3,-14.77E-3,-13.13E-3,-11.49E-3,-9.845E-3,84.00E-3,3.922E-3
86.00E-3,486.0E-6,972.5E-6,1.460E-3,1.947E-3,2.434E-3,2.921E-3,3.408E-3,4.383E-3,4.870E-3,88.00E-3,-16.39E-3,-14.75E-3,-13.11E-3,-11.47E-3,-9.833E-3,86.00E-3,3.896E-3
88.00E-3,482.7E-6,965.9E-6,1.450E-3,1.934E-3,2.418E-3,2.902E-3,3.386E-3,4.353E-3,4.837E-3,90.00E-3,-16.37E-3,-14.73E-3,-13.10E-3,-11.46E-3,-9.821E-3,88.00E-3,3.869E-3
90.00E-3,479.5E-6,959.4E-6,1.440E-3,1.921E-3,2.401E-3,2.882E-3,3.363E-3,4.324E-3,4.804E-3,92.00E-3,-16.35E-3,-14.71E-3,-13.08E-3,-11.44E-3,-9.809E-3,90.00E-3,3.843E-3
92.00E-3,476.2E-6,952.8E-6,1.430E-3,1.908E-3,2.385E-3,2.862E-3,3.340E-3,4.294E-3,4.772E-3,94.00E-3,-16.33E-3,-14.70E-3,-13.06E-3,-11.43E-3,-9.798E-3,92.00E-3,3.817E-3
94.00E-3,472.9E-6,946.3E-6,1.421E-3,1.895E-3,2.369E-3,2.843E-3,3.317E-3,4.265E-3,4.739E-3,96.00E-3,-16.31E-3,-14.68E-3,-13.05E-3,-11.42E-3,-9.785E-3,94.00E-3,3.791E-3
96.00E-3,469.7E-6,939.8E-6,1.411E-3,1.882E-3,2.352E-3,2.823E-3,3.294E-3,4.236E-3,4.706E-3,98.00E-3,-16.29E-3,-14.66E-3,-13.03E-3,-11.40E-3,-9.773E-3,96.00E-3,3.765E-3
98.00E-3,466.4E-6,933.3E-6,1.401E-3,1.869E-3,2.336E-3,2.804E-3,3.271E-3,4.206E-3,4.674E-3,100.0E-3,-16.27E-3,-14.64E-3,-13.01E-3,-11.39E-3,-9.761E-3,98.00E-3,3.739E-3
100.0E-3,463.2E-6,926.8E-6,1.391E-3,1.856E-3,2.320E-3,2.784E-3,3.248E-3,4.177E-3,4.641E-3,102.0E-3,-16.25E-3,-14.62E-3,-13.00E-3,-11.37E-3,-9.748E-3,100.0E-3,3.713E-3
102.0E-3,459.9E-6,920.3E-6,1.381E-3,1.843E-3,2.304E-3,2.765E-3,3.226E-3,4.148E-3,4.609E-3,104.0E-3,-16.23E-3,-14.60E-3,-12.98E-3,-11.36E-3,-9.736E-3,102.0E-3,3.687E-3
104.0E-3,456.7E-6,913.8E-6,1.372E-3,1.830E-3,2.287E-3,2.745E-3,3.203E-3,4.119E-3,4.576E-3,106.0E-3,-16.21E-3,-14.59E-3,-12.96E-3,-11.34E-3,-9.723E-3,104.0E-3,3.661E-3
106.0E-3,453.5E-6,907.3E-6,1.362E-3,1.817E-3,2.271E-3,2.726E-3,3.180E-3,4.089E-3,4.544E-3,108.0E-3,-16.18E-3,-14.57E-3,-12.95E-3,-11.33E-3,-9.710E-3,106.0E-3,3.635E-3
108.0E-3,450.2E-6,900.8E-6,1.352E-3,1.804E-3,2.255E-3,2.706E-3,3.158E-3,4.060E-3,4.512E-3,110.0E-3,-16.16E-3,-14.55E-3,-12.93E-3,-11.31E-3,-9.697E-3,108.0E-3,3.609E-3
110.0E-3,447.0E-6,894.4E-6,1.343E-3,1.791E-3,2.239E-3,2.687E-3,3.135E-3,4.031E-3,4.479E-3,112.0E-3,-16.14E-3,-14.53E-3,-12.91E-3,-11.30E-3,-9.684E-3,110.0E-3,3.583E-3
112.0E-3,443.8E-6,887.9E-6,1.333E-3,1.778E-3,2.223E-3,2.668E-3,3.112E-3,4.002E-3,4.447E-3,114.0E-3,-16.12E-3,-14.51E-3,-12.89E-3,-11.28E-3,-9.671E-3,112.0E-3,3.557E-3
114.0E-3,440.5E-6,881.5E-6,1.323E-3,1.765E-3,2.207E-3,2.648E-3,3.090E-3,3.973E-3,4.415E-3,116.0E-3,-16.10E-3,-14.49E-3,-12.88E-3,-11.27E-3,-9.657E-3,114.0E-3,3.531E-3
116.0E-3,437.3E-6,875.0E-6,1.314E-3,1.752E-3,2.190E-3,2.629E-3,3.067E-3,3.944E-3,4.382E-3,118.0E-3,-16.07E-3,-14.47E-3,-12.86E-3,-11.25E-3,-9.644E-3,116.0E-3,3.506E-3
118.0E-3,434.1E-6,868.6E-6,1.304E-3,1.739E-3,2.174E-3,2.610E-3,3.045E-3,3.915E-3,4.350E-3,120.0E-3,-16.05E-3,-14.45E-3,-12.84E-3,-11.24E-3,-9.630E-3,118.0E-3,3.480E-3
