dc (V),NM0:d (L=9.00e-08) (A),NM0:d (L=1.90e-07) (A),NM0:d (L=2.40e-07) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "L" 9e-08)),deriv(value(getData("/NM0/D" ?result "dc") "L" 2.4e-07)),deriv(value(getData("/NM0/D" ?result "dc") "L" 1.4e-07)),dc (V),NM0:d (L=1.40e-07) (A)
762.0E-3,175.8E-6,133.2E-6,119.6E-6,764.0E-3,1.182E-3,676.8E-6,928.1E-6,762.0E-3,151.9E-6
764.0E-3,178.2E-6,134.7E-6,120.9E-6,766.0E-3,1.188E-3,679.9E-6,932.4E-6,764.0E-3,153.7E-6
766.0E-3,180.6E-6,136.3E-6,122.3E-6,768.0E-3,1.195E-3,683.0E-6,936.7E-6,766.0E-3,155.6E-6
768.0E-3,183.0E-6,137.9E-6,123.6E-6,770.0E-3,1.201E-3,686.1E-6,941.0E-6,768.0E-3,157.5E-6
770.0E-3,185.4E-6,139.4E-6,125.0E-6,772.0E-3,1.207E-3,689.1E-6,945.2E-6,770.0E-3,159.4E-6
772.0E-3,187.8E-6,141.0E-6,126.4E-6,774.0E-3,1.212E-3,692.1E-6,949.3E-6,772.0E-3,161.2E-6
774.0E-3,190.2E-6,142.6E-6,127.8E-6,776.0E-3,1.218E-3,695.1E-6,953.5E-6,774.0E-3,163.1E-6
776.0E-3,192.6E-6,144.2E-6,129.2E-6,778.0E-3,1.224E-3,698.1E-6,957.6E-6,776.0E-3,165.1E-6
778.0E-3,195.1E-6,145.8E-6,130.6E-6,780.0E-3,1.230E-3,701.0E-6,961.7E-6,778.0E-3,167.0E-6
780.0E-3,197.6E-6,147.4E-6,132.0E-6,782.0E-3,1.235E-3,704.0E-6,965.7E-6,780.0E-3,168.9E-6
782.0E-3,200.0E-6,149.0E-6,133.4E-6,784.0E-3,1.241E-3,706.9E-6,969.7E-6,782.0E-3,170.8E-6
784.0E-3,202.5E-6,150.6E-6,134.8E-6,786.0E-3,1.246E-3,709.8E-6,973.6E-6,784.0E-3,172.8E-6
786.0E-3,205.0E-6,152.3E-6,136.2E-6,788.0E-3,1.252E-3,712.7E-6,977.6E-6,786.0E-3,174.7E-6
788.0E-3,207.5E-6,153.9E-6,137.6E-6,790.0E-3,1.257E-3,715.5E-6,981.4E-6,788.0E-3,176.7E-6
790.0E-3,210.0E-6,155.5E-6,139.1E-6,792.0E-3,1.263E-3,718.4E-6,985.3E-6,790.0E-3,178.6E-6
792.0E-3,212.5E-6,157.2E-6,140.5E-6,794.0E-3,1.268E-3,721.2E-6,989.1E-6,792.0E-3,180.6E-6
794.0E-3,215.1E-6,158.8E-6,141.9E-6,796.0E-3,1.273E-3,724.0E-6,992.9E-6,794.0E-3,182.6E-6
796.0E-3,217.6E-6,160.5E-6,143.4E-6,798.0E-3,1.278E-3,726.8E-6,996.6E-6,796.0E-3,184.6E-6
798.0E-3,220.2E-6,162.2E-6,144.8E-6,800.0E-3,1.283E-3,729.6E-6,1.000E-3,798.0E-3,186.6E-6
800.0E-3,222.8E-6,163.8E-6,146.3E-6,802.0E-3,1.288E-3,732.3E-6,1.004E-3,800.0E-3,188.6E-6
802.0E-3,225.3E-6,165.5E-6,147.8E-6,804.0E-3,1.293E-3,735.1E-6,1.008E-3,802.0E-3,190.6E-6
804.0E-3,227.9E-6,167.2E-6,149.2E-6,806.0E-3,1.298E-3,737.8E-6,1.011E-3,804.0E-3,192.6E-6
806.0E-3,230.5E-6,168.9E-6,150.7E-6,808.0E-3,1.303E-3,740.5E-6,1.015E-3,806.0E-3,194.6E-6
808.0E-3,233.1E-6,170.6E-6,152.2E-6,810.0E-3,1.308E-3,743.2E-6,1.018E-3,808.0E-3,196.6E-6
810.0E-3,235.7E-6,172.3E-6,153.7E-6,812.0E-3,1.313E-3,745.8E-6,1.022E-3,810.0E-3,198.7E-6
812.0E-3,238.4E-6,174.0E-6,155.2E-6,814.0E-3,1.317E-3,748.5E-6,1.025E-3,812.0E-3,200.7E-6
814.0E-3,241.0E-6,175.7E-6,156.7E-6,816.0E-3,1.322E-3,751.1E-6,1.029E-3,814.0E-3,202.8E-6
816.0E-3,243.6E-6,177.4E-6,158.2E-6,818.0E-3,1.327E-3,753.7E-6,1.032E-3,816.0E-3,204.8E-6
818.0E-3,246.3E-6,179.1E-6,159.7E-6,820.0E-3,1.331E-3,756.3E-6,1.036E-3,818.0E-3,206.9E-6
820.0E-3,249.0E-6,180.9E-6,161.2E-6,822.0E-3,1.336E-3,758.9E-6,1.039E-3,820.0E-3,209.0E-6
822.0E-3,251.6E-6,182.6E-6,162.7E-6,824.0E-3,1.340E-3,761.4E-6,1.042E-3,822.0E-3,211.0E-6
824.0E-3,254.3E-6,184.3E-6,164.2E-6,826.0E-3,1.344E-3,764.0E-6,1.045E-3,824.0E-3,213.1E-6
826.0E-3,257.0E-6,186.1E-6,165.8E-6,828.0E-3,1.349E-3,766.5E-6,1.049E-3,826.0E-3,215.2E-6
828.0E-3,259.7E-6,187.8E-6,167.3E-6,830.0E-3,1.353E-3,769.0E-6,1.052E-3,828.0E-3,217.3E-6
830.0E-3,262.4E-6,189.6E-6,168.8E-6,832.0E-3,1.357E-3,771.5E-6,1.055E-3,830.0E-3,219.4E-6
832.0E-3,265.1E-6,191.4E-6,170.4E-6,834.0E-3,1.361E-3,773.9E-6,1.058E-3,832.0E-3,221.5E-6
834.0E-3,267.8E-6,193.1E-6,171.9E-6,836.0E-3,1.365E-3,776.4E-6,1.061E-3,834.0E-3,223.6E-6
836.0E-3,270.6E-6,194.9E-6,173.5E-6,838.0E-3,1.369E-3,778.8E-6,1.064E-3,836.0E-3,225.8E-6
838.0E-3,273.3E-6,196.7E-6,175.0E-6,840.0E-3,1.373E-3,781.2E-6,1.067E-3,838.0E-3,227.9E-6
840.0E-3,276.0E-6,198.5E-6,176.6E-6,842.0E-3,1.377E-3,783.6E-6,1.070E-3,840.0E-3,230.0E-6
842.0E-3,278.8E-6,200.3E-6,178.2E-6,844.0E-3,1.381E-3,786.0E-6,1.073E-3,842.0E-3,232.2E-6
844.0E-3,281.6E-6,202.1E-6,179.7E-6,846.0E-3,1.385E-3,788.4E-6,1.076E-3,844.0E-3,234.3E-6
846.0E-3,284.3E-6,203.9E-6,181.3E-6,848.0E-3,1.389E-3,790.7E-6,1.079E-3,846.0E-3,236.5E-6
848.0E-3,287.1E-6,205.7E-6,182.9E-6,850.0E-3,1.393E-3,793.1E-6,1.082E-3,848.0E-3,238.6E-6
850.0E-3,289.9E-6,207.5E-6,184.5E-6,852.0E-3,1.396E-3,795.4E-6,1.085E-3,850.0E-3,240.8E-6
852.0E-3,292.7E-6,209.3E-6,186.1E-6,854.0E-3,1.400E-3,797.7E-6,1.088E-3,852.0E-3,243.0E-6
854.0E-3,295.5E-6,211.1E-6,187.7E-6,856.0E-3,1.404E-3,799.9E-6,1.091E-3,854.0E-3,245.1E-6
856.0E-3,298.3E-6,212.9E-6,189.3E-6,858.0E-3,1.407E-3,802.2E-6,1.094E-3,856.0E-3,247.3E-6
858.0E-3,301.1E-6,214.8E-6,190.9E-6,860.0E-3,1.411E-3,804.4E-6,1.096E-3,858.0E-3,249.5E-6
860.0E-3,303.9E-6,216.6E-6,192.5E-6,862.0E-3,1.414E-3,806.7E-6,1.099E-3,860.0E-3,251.7E-6
862.0E-3,306.8E-6,218.4E-6,194.1E-6,864.0E-3,1.418E-3,808.9E-6,1.102E-3,862.0E-3,253.9E-6
864.0E-3,309.6E-6,220.3E-6,195.7E-6,866.0E-3,1.421E-3,811.1E-6,1.104E-3,864.0E-3,256.1E-6
866.0E-3,312.4E-6,222.1E-6,197.3E-6,868.0E-3,1.424E-3,813.3E-6,1.107E-3,866.0E-3,258.3E-6
868.0E-3,315.3E-6,224.0E-6,198.9E-6,870.0E-3,1.428E-3,815.4E-6,1.110E-3,868.0E-3,260.5E-6
870.0E-3,318.1E-6,225.9E-6,200.6E-6,872.0E-3,1.431E-3,817.6E-6,1.112E-3,870.0E-3,262.7E-6
872.0E-3,321.0E-6,227.7E-6,202.2E-6,874.0E-3,1.434E-3,819.7E-6,1.115E-3,872.0E-3,265.0E-6
874.0E-3,323.9E-6,229.6E-6,203.9E-6,876.0E-3,1.437E-3,821.8E-6,1.117E-3,874.0E-3,267.2E-6
876.0E-3,326.7E-6,231.5E-6,205.5E-6,878.0E-3,1.440E-3,823.9E-6,1.120E-3,876.0E-3,269.4E-6
878.0E-3,329.6E-6,233.3E-6,207.1E-6,880.0E-3,1.443E-3,826.0E-6,1.122E-3,878.0E-3,271.7E-6
880.0E-3,332.5E-6,235.2E-6,208.8E-6,882.0E-3,1.446E-3,828.0E-6,1.125E-3,880.0E-3,273.9E-6
882.0E-3,335.4E-6,237.1E-6,210.5E-6,884.0E-3,1.449E-3,830.1E-6,1.127E-3,882.0E-3,276.2E-6
884.0E-3,338.3E-6,239.0E-6,212.1E-6,886.0E-3,1.452E-3,832.1E-6,1.130E-3,884.0E-3,278.4E-6
886.0E-3,341.2E-6,240.9E-6,213.8E-6,888.0E-3,1.455E-3,834.1E-6,1.132E-3,886.0E-3,280.7E-6
888.0E-3,344.1E-6,242.8E-6,215.4E-6,890.0E-3,1.458E-3,836.1E-6,1.134E-3,888.0E-3,282.9E-6
890.0E-3,347.0E-6,244.7E-6,217.1E-6,892.0E-3,1.461E-3,838.1E-6,1.137E-3,890.0E-3,285.2E-6
892.0E-3,350.0E-6,246.6E-6,218.8E-6,894.0E-3,1.464E-3,840.1E-6,1.139E-3,892.0E-3,287.5E-6
894.0E-3,352.9E-6,248.5E-6,220.5E-6,896.0E-3,1.467E-3,842.0E-6,1.141E-3,894.0E-3,289.8E-6
896.0E-3,355.8E-6,250.4E-6,222.2E-6,898.0E-3,1.469E-3,844.0E-6,1.143E-3,896.0E-3,292.0E-6
898.0E-3,358.8E-6,252.3E-6,223.8E-6,900.0E-3,1.472E-3,845.9E-6,1.146E-3,898.0E-3,294.3E-6
900.0E-3,361.7E-6,254.3E-6,225.5E-6,902.0E-3,1.475E-3,847.8E-6,1.148E-3,900.0E-3,296.6E-6
902.0E-3,364.6E-6,256.2E-6,227.2E-6,904.0E-3,1.477E-3,849.7E-6,1.150E-3,902.0E-3,298.9E-6
904.0E-3,367.6E-6,258.1E-6,228.9E-6,906.0E-3,1.480E-3,851.5E-6,1.152E-3,904.0E-3,301.2E-6
906.0E-3,370.6E-6,260.1E-6,230.6E-6,908.0E-3,1.482E-3,853.4E-6,1.154E-3,906.0E-3,303.5E-6
908.0E-3,373.5E-6,262.0E-6,232.3E-6,910.0E-3,1.485E-3,855.2E-6,1.156E-3,908.0E-3,305.8E-6
910.0E-3,376.5E-6,264.0E-6,234.1E-6,912.0E-3,1.487E-3,857.1E-6,1.158E-3,910.0E-3,308.1E-6
912.0E-3,379.5E-6,265.9E-6,235.8E-6,914.0E-3,1.490E-3,858.9E-6,1.160E-3,912.0E-3,310.4E-6
914.0E-3,382.5E-6,267.8E-6,237.5E-6,916.0E-3,1.492E-3,860.7E-6,1.162E-3,914.0E-3,312.8E-6
916.0E-3,385.4E-6,269.8E-6,239.2E-6,918.0E-3,1.494E-3,862.5E-6,1.164E-3,916.0E-3,315.1E-6
918.0E-3,388.4E-6,271.8E-6,240.9E-6,920.0E-3,1.497E-3,864.2E-6,1.166E-3,918.0E-3,317.4E-6
920.0E-3,391.4E-6,273.7E-6,242.7E-6,922.0E-3,1.499E-3,866.0E-6,1.168E-3,920.0E-3,319.8E-6
922.0E-3,394.4E-6,275.7E-6,244.4E-6,924.0E-3,1.501E-3,867.7E-6,1.170E-3,922.0E-3,322.1E-6
924.0E-3,397.4E-6,277.7E-6,246.1E-6,926.0E-3,1.504E-3,869.4E-6,1.172E-3,924.0E-3,324.4E-6
926.0E-3,400.4E-6,279.6E-6,247.9E-6,928.0E-3,1.506E-3,871.1E-6,1.174E-3,926.0E-3,326.8E-6
928.0E-3,403.4E-6,281.6E-6,249.6E-6,930.0E-3,1.508E-3,872.8E-6,1.176E-3,928.0E-3,329.1E-6
930.0E-3,406.5E-6,283.6E-6,251.4E-6,932.0E-3,1.510E-3,874.5E-6,1.178E-3,930.0E-3,331.5E-6
932.0E-3,409.5E-6,285.6E-6,253.1E-6,934.0E-3,1.512E-3,876.2E-6,1.179E-3,932.0E-3,333.8E-6
934.0E-3,412.5E-6,287.6E-6,254.9E-6,936.0E-3,1.514E-3,877.8E-6,1.181E-3,934.0E-3,336.2E-6
936.0E-3,415.5E-6,289.5E-6,256.6E-6,938.0E-3,1.516E-3,879.4E-6,1.183E-3,936.0E-3,338.6E-6
938.0E-3,418.6E-6,291.5E-6,258.4E-6,940.0E-3,1.518E-3,881.1E-6,1.185E-3,938.0E-3,340.9E-6
940.0E-3,421.6E-6,293.5E-6,260.1E-6,942.0E-3,1.520E-3,882.7E-6,1.186E-3,940.0E-3,343.3E-6
942.0E-3,424.6E-6,295.5E-6,261.9E-6,944.0E-3,1.522E-3,884.3E-6,1.188E-3,942.0E-3,345.7E-6
944.0E-3,427.7E-6,297.5E-6,263.7E-6,946.0E-3,1.524E-3,885.8E-6,1.190E-3,944.0E-3,348.0E-6
946.0E-3,430.7E-6,299.5E-6,265.4E-6,948.0E-3,1.526E-3,887.4E-6,1.191E-3,946.0E-3,350.4E-6
948.0E-3,433.8E-6,301.6E-6,267.2E-6,950.0E-3,1.528E-3,888.9E-6,1.193E-3,948.0E-3,352.8E-6
950.0E-3,436.8E-6,303.6E-6,269.0E-6,952.0E-3,1.530E-3,890.5E-6,1.195E-3,950.0E-3,355.2E-6
952.0E-3,439.9E-6,305.6E-6,270.8E-6,954.0E-3,1.531E-3,892.0E-6,1.196E-3,952.0E-3,357.6E-6
954.0E-3,443.0E-6,307.6E-6,272.6E-6,956.0E-3,1.533E-3,893.5E-6,1.198E-3,954.0E-3,360.0E-6
956.0E-3,446.0E-6,309.6E-6,274.3E-6,958.0E-3,1.535E-3,895.0E-6,1.199E-3,956.0E-3,362.4E-6
958.0E-3,449.1E-6,311.6E-6,276.1E-6,960.0E-3,1.537E-3,896.5E-6,1.201E-3,958.0E-3,364.8E-6
960.0E-3,452.2E-6,313.7E-6,277.9E-6,962.0E-3,1.538E-3,897.9E-6,1.202E-3,960.0E-3,367.2E-6
962.0E-3,455.2E-6,315.7E-6,279.7E-6,964.0E-3,1.540E-3,899.4E-6,1.204E-3,962.0E-3,369.6E-6
964.0E-3,458.3E-6,317.7E-6,281.5E-6,966.0E-3,1.542E-3,900.8E-6,1.205E-3,964.0E-3,372.0E-6
966.0E-3,461.4E-6,319.8E-6,283.3E-6,968.0E-3,1.543E-3,902.2E-6,1.207E-3,966.0E-3,374.4E-6
968.0E-3,464.5E-6,321.8E-6,285.1E-6,970.0E-3,1.545E-3,903.6E-6,1.208E-3,968.0E-3,376.8E-6
970.0E-3,467.6E-6,323.9E-6,286.9E-6,972.0E-3,1.546E-3,905.0E-6,1.210E-3,970.0E-3,379.2E-6
972.0E-3,470.7E-6,325.9E-6,288.7E-6,974.0E-3,1.548E-3,906.4E-6,1.211E-3,972.0E-3,381.6E-6
974.0E-3,473.8E-6,327.9E-6,290.6E-6,976.0E-3,1.549E-3,907.7E-6,1.212E-3,974.0E-3,384.1E-6
976.0E-3,476.9E-6,330.0E-6,292.4E-6,978.0E-3,1.551E-3,909.1E-6,1.214E-3,976.0E-3,386.5E-6
978.0E-3,480.0E-6,332.1E-6,294.2E-6,980.0E-3,1.552E-3,910.4E-6,1.215E-3,978.0E-3,388.9E-6
980.0E-3,483.1E-6,334.1E-6,296.0E-6,982.0E-3,1.554E-3,911.8E-6,1.216E-3,980.0E-3,391.3E-6
982.0E-3,486.2E-6,336.2E-6,297.8E-6,984.0E-3,1.555E-3,913.1E-6,1.218E-3,982.0E-3,393.8E-6
984.0E-3,489.3E-6,338.2E-6,299.7E-6,986.0E-3,1.556E-3,914.4E-6,1.219E-3,984.0E-3,396.2E-6
986.0E-3,492.4E-6,340.3E-6,301.5E-6,988.0E-3,1.558E-3,915.7E-6,1.220E-3,986.0E-3,398.6E-6
988.0E-3,495.5E-6,342.4E-6,303.3E-6,990.0E-3,1.559E-3,916.9E-6,1.221E-3,988.0E-3,401.1E-6
990.0E-3,498.6E-6,344.4E-6,305.2E-6,992.0E-3,1.560E-3,918.2E-6,1.222E-3,990.0E-3,403.5E-6
992.0E-3,501.8E-6,346.5E-6,307.0E-6,994.0E-3,1.561E-3,919.4E-6,1.224E-3,992.0E-3,406.0E-6
994.0E-3,504.9E-6,348.6E-6,308.8E-6,996.0E-3,1.563E-3,920.7E-6,1.225E-3,994.0E-3,408.4E-6
996.0E-3,508.0E-6,350.6E-6,310.7E-6,998.0E-3,1.564E-3,921.9E-6,1.226E-3,996.0E-3,410.9E-6
998.0E-3,511.1E-6,352.7E-6,312.5E-6,1.000,1.565E-3,923.1E-6,1.227E-3,998.0E-3,413.3E-6
1.000,514.3E-6,354.8E-6,314.4E-6, , , , ,1.000,415.8E-6
