dc (V),NM0:d (L=9.00e-08) (A),NM0:d (L=1.90e-07) (A),NM0:d (L=2.40e-07) (A),dc (V),deriv(value(getData("/NM0/D" ?result "dc") "L" 9e-08)),deriv(value(getData("/NM0/D" ?result "dc") "L" 2.4e-07)),deriv(value(getData("/NM0/D" ?result "dc") "L" 1.4e-07)),dc (V),NM0:d (L=1.40e-07) (A)
178.0E-3,1.154E-9,1.657E-9,1.894E-9,180.0E-3,40.97E-9,67.44E-9,50.17E-9,178.0E-3,1.403E-9
180.0E-3,1.236E-9,1.775E-9,2.029E-9,182.0E-3,43.84E-9,72.15E-9,53.69E-9,180.0E-3,1.504E-9
182.0E-3,1.323E-9,1.902E-9,2.173E-9,184.0E-3,46.90E-9,77.18E-9,57.47E-9,182.0E-3,1.611E-9
184.0E-3,1.417E-9,2.037E-9,2.328E-9,186.0E-3,50.17E-9,82.55E-9,61.50E-9,184.0E-3,1.726E-9
186.0E-3,1.518E-9,2.182E-9,2.493E-9,188.0E-3,53.67E-9,88.29E-9,65.80E-9,186.0E-3,1.849E-9
188.0E-3,1.625E-9,2.337E-9,2.669E-9,190.0E-3,57.40E-9,94.41E-9,70.41E-9,188.0E-3,1.981E-9
190.0E-3,1.740E-9,2.503E-9,2.858E-9,192.0E-3,61.39E-9,100.9E-9,75.32E-9,190.0E-3,2.121E-9
192.0E-3,1.863E-9,2.680E-9,3.060E-9,194.0E-3,65.65E-9,107.9E-9,80.58E-9,192.0E-3,2.272E-9
194.0E-3,1.994E-9,2.870E-9,3.276E-9,196.0E-3,70.20E-9,115.4E-9,86.19E-9,194.0E-3,2.433E-9
196.0E-3,2.134E-9,3.072E-9,3.507E-9,198.0E-3,75.06E-9,123.3E-9,92.18E-9,196.0E-3,2.606E-9
198.0E-3,2.284E-9,3.289E-9,3.753E-9,200.0E-3,80.25E-9,131.8E-9,98.57E-9,198.0E-3,2.790E-9
200.0E-3,2.445E-9,3.521E-9,4.017E-9,202.0E-3,85.78E-9,140.8E-9,105.4E-9,200.0E-3,2.987E-9
202.0E-3,2.616E-9,3.769E-9,4.298E-9,204.0E-3,91.69E-9,150.4E-9,112.7E-9,202.0E-3,3.198E-9
204.0E-3,2.800E-9,4.034E-9,4.599E-9,206.0E-3,98.00E-9,160.7E-9,120.5E-9,204.0E-3,3.423E-9
206.0E-3,2.996E-9,4.317E-9,4.921E-9,208.0E-3,104.7E-9,171.6E-9,128.8E-9,206.0E-3,3.664E-9
208.0E-3,3.205E-9,4.619E-9,5.264E-9,210.0E-3,111.9E-9,183.3E-9,137.6E-9,208.0E-3,3.922E-9
210.0E-3,3.429E-9,4.942E-9,5.630E-9,212.0E-3,119.6E-9,195.7E-9,147.1E-9,210.0E-3,4.197E-9
212.0E-3,3.668E-9,5.288E-9,6.022E-9,214.0E-3,127.7E-9,208.9E-9,157.1E-9,212.0E-3,4.491E-9
214.0E-3,3.924E-9,5.656E-9,6.439E-9,216.0E-3,136.4E-9,223.0E-9,167.9E-9,214.0E-3,4.805E-9
216.0E-3,4.197E-9,6.050E-9,6.885E-9,218.0E-3,145.7E-9,237.9E-9,179.3E-9,216.0E-3,5.141E-9
218.0E-3,4.488E-9,6.470E-9,7.361E-9,220.0E-3,155.6E-9,253.9E-9,191.5E-9,218.0E-3,5.500E-9
220.0E-3,4.799E-9,6.919E-9,7.869E-9,222.0E-3,166.2E-9,270.9E-9,204.6E-9,220.0E-3,5.883E-9
222.0E-3,5.132E-9,7.398E-9,8.411E-9,224.0E-3,177.4E-9,288.9E-9,218.4E-9,222.0E-3,6.292E-9
224.0E-3,5.487E-9,7.909E-9,8.989E-9,226.0E-3,189.4E-9,308.1E-9,233.2E-9,224.0E-3,6.729E-9
226.0E-3,5.866E-9,8.455E-9,9.605E-9,228.0E-3,202.2E-9,328.6E-9,248.9E-9,226.0E-3,7.195E-9
228.0E-3,6.270E-9,9.037E-9,10.26E-9,230.0E-3,215.8E-9,350.3E-9,265.7E-9,228.0E-3,7.693E-9
230.0E-3,6.702E-9,9.658E-9,10.96E-9,232.0E-3,230.3E-9,373.3E-9,283.5E-9,230.0E-3,8.224E-9
232.0E-3,7.162E-9,10.32E-9,11.71E-9,234.0E-3,245.7E-9,397.9E-9,302.5E-9,232.0E-3,8.791E-9
234.0E-3,7.654E-9,11.03E-9,12.50E-9,236.0E-3,262.1E-9,423.9E-9,322.7E-9,234.0E-3,9.396E-9
236.0E-3,8.178E-9,11.78E-9,13.35E-9,238.0E-3,279.6E-9,451.5E-9,344.2E-9,236.0E-3,10.04E-9
238.0E-3,8.737E-9,12.58E-9,14.26E-9,240.0E-3,298.2E-9,480.9E-9,367.1E-9,238.0E-3,10.73E-9
240.0E-3,9.334E-9,13.44E-9,15.22E-9,242.0E-3,318.0E-9,512.1E-9,391.4E-9,240.0E-3,11.46E-9
242.0E-3,9.970E-9,14.35E-9,16.24E-9,244.0E-3,339.1E-9,545.1E-9,417.2E-9,242.0E-3,12.25E-9
244.0E-3,10.65E-9,15.32E-9,17.33E-9,246.0E-3,361.5E-9,580.2E-9,444.7E-9,244.0E-3,13.08E-9
246.0E-3,11.37E-9,16.35E-9,18.49E-9,248.0E-3,385.3E-9,617.3E-9,473.9E-9,246.0E-3,13.97E-9
248.0E-3,12.14E-9,17.45E-9,19.73E-9,250.0E-3,410.6E-9,656.7E-9,504.9E-9,248.0E-3,14.92E-9
250.0E-3,12.96E-9,18.63E-9,21.04E-9,252.0E-3,437.4E-9,698.5E-9,537.8E-9,250.0E-3,15.93E-9
252.0E-3,13.84E-9,19.87E-9,22.44E-9,254.0E-3,466.0E-9,742.7E-9,572.8E-9,252.0E-3,17.00E-9
254.0E-3,14.77E-9,21.20E-9,23.92E-9,256.0E-3,496.3E-9,789.6E-9,609.9E-9,254.0E-3,18.15E-9
256.0E-3,15.76E-9,22.62E-9,25.50E-9,258.0E-3,528.6E-9,839.2E-9,649.3E-9,256.0E-3,19.37E-9
258.0E-3,16.82E-9,24.12E-9,27.18E-9,260.0E-3,562.8E-9,891.6E-9,691.1E-9,258.0E-3,20.67E-9
260.0E-3,17.94E-9,25.72E-9,28.96E-9,262.0E-3,599.1E-9,947.1E-9,735.4E-9,260.0E-3,22.05E-9
262.0E-3,19.14E-9,27.42E-9,30.86E-9,264.0E-3,637.6E-9,1.006E-6,782.4E-9,262.0E-3,23.52E-9
264.0E-3,20.42E-9,29.22E-9,32.87E-9,266.0E-3,678.5E-9,1.068E-6,832.2E-9,264.0E-3,25.09E-9
266.0E-3,21.78E-9,31.14E-9,35.01E-9,268.0E-3,721.8E-9,1.133E-6,884.9E-9,266.0E-3,26.75E-9
268.0E-3,23.22E-9,33.18E-9,37.27E-9,270.0E-3,767.8E-9,1.203E-6,940.8E-9,268.0E-3,28.52E-9
270.0E-3,24.75E-9,35.35E-9,39.68E-9,272.0E-3,816.5E-9,1.276E-6,1.000E-6,270.0E-3,30.40E-9
272.0E-3,26.39E-9,37.65E-9,42.23E-9,274.0E-3,868.1E-9,1.353E-6,1.063E-6,272.0E-3,32.40E-9
274.0E-3,28.12E-9,40.09E-9,44.94E-9,276.0E-3,922.8E-9,1.435E-6,1.129E-6,274.0E-3,34.53E-9
276.0E-3,29.97E-9,42.68E-9,47.81E-9,278.0E-3,980.6E-9,1.521E-6,1.199E-6,276.0E-3,36.78E-9
278.0E-3,31.93E-9,45.43E-9,50.85E-9,280.0E-3,1.042E-6,1.611E-6,1.273E-6,278.0E-3,39.18E-9
280.0E-3,34.01E-9,48.34E-9,54.07E-9,282.0E-3,1.107E-6,1.707E-6,1.351E-6,280.0E-3,41.73E-9
282.0E-3,36.23E-9,51.44E-9,57.48E-9,284.0E-3,1.175E-6,1.807E-6,1.434E-6,282.0E-3,44.43E-9
284.0E-3,38.58E-9,54.72E-9,61.10E-9,286.0E-3,1.248E-6,1.913E-6,1.522E-6,284.0E-3,47.30E-9
286.0E-3,41.07E-9,58.19E-9,64.92E-9,288.0E-3,1.325E-6,2.025E-6,1.614E-6,286.0E-3,50.34E-9
288.0E-3,43.72E-9,61.87E-9,68.97E-9,290.0E-3,1.406E-6,2.143E-6,1.711E-6,288.0E-3,53.57E-9
290.0E-3,46.53E-9,65.77E-9,73.26E-9,292.0E-3,1.491E-6,2.266E-6,1.814E-6,290.0E-3,56.99E-9
292.0E-3,49.52E-9,69.90E-9,77.79E-9,294.0E-3,1.582E-6,2.396E-6,1.923E-6,292.0E-3,60.62E-9
294.0E-3,52.68E-9,74.27E-9,82.58E-9,296.0E-3,1.677E-6,2.533E-6,2.037E-6,294.0E-3,64.47E-9
296.0E-3,56.04E-9,78.89E-9,87.65E-9,298.0E-3,1.778E-6,2.676E-6,2.157E-6,296.0E-3,68.54E-9
298.0E-3,59.59E-9,83.78E-9,93.00E-9,300.0E-3,1.884E-6,2.827E-6,2.284E-6,298.0E-3,72.85E-9
300.0E-3,63.36E-9,88.95E-9,98.65E-9,302.0E-3,1.996E-6,2.985E-6,2.418E-6,300.0E-3,77.42E-9
302.0E-3,67.35E-9,94.42E-9,104.6E-9,304.0E-3,2.114E-6,3.151E-6,2.558E-6,302.0E-3,82.26E-9
304.0E-3,71.58E-9,100.2E-9,110.9E-9,306.0E-3,2.239E-6,3.325E-6,2.706E-6,304.0E-3,87.38E-9
306.0E-3,76.06E-9,106.3E-9,117.6E-9,308.0E-3,2.370E-6,3.508E-6,2.862E-6,306.0E-3,92.79E-9
308.0E-3,80.80E-9,112.8E-9,124.6E-9,310.0E-3,2.508E-6,3.700E-6,3.025E-6,308.0E-3,98.51E-9
310.0E-3,85.82E-9,119.6E-9,132.0E-9,312.0E-3,2.653E-6,3.900E-6,3.197E-6,310.0E-3,104.6E-9
312.0E-3,91.12E-9,126.8E-9,139.8E-9,314.0E-3,2.806E-6,4.110E-6,3.378E-6,312.0E-3,111.0E-9
314.0E-3,96.74E-9,134.3E-9,148.0E-9,316.0E-3,2.967E-6,4.331E-6,3.567E-6,314.0E-3,117.7E-9
316.0E-3,102.7E-9,142.3E-9,156.7E-9,318.0E-3,3.136E-6,4.561E-6,3.766E-6,316.0E-3,124.8E-9
318.0E-3,108.9E-9,150.8E-9,165.8E-9,320.0E-3,3.313E-6,4.802E-6,3.975E-6,318.0E-3,132.4E-9
320.0E-3,115.6E-9,159.7E-9,175.4E-9,322.0E-3,3.500E-6,5.054E-6,4.194E-6,320.0E-3,140.3E-9
322.0E-3,122.6E-9,169.0E-9,185.5E-9,324.0E-3,3.696E-6,5.317E-6,4.423E-6,322.0E-3,148.7E-9
324.0E-3,130.0E-9,178.9E-9,196.1E-9,326.0E-3,3.901E-6,5.593E-6,4.664E-6,324.0E-3,157.6E-9
326.0E-3,137.8E-9,189.3E-9,207.3E-9,328.0E-3,4.116E-6,5.880E-6,4.915E-6,326.0E-3,166.9E-9
328.0E-3,146.0E-9,200.2E-9,219.1E-9,330.0E-3,4.342E-6,6.181E-6,5.179E-6,328.0E-3,176.7E-9
330.0E-3,154.7E-9,211.7E-9,231.5E-9,332.0E-3,4.579E-6,6.494E-6,5.455E-6,330.0E-3,187.1E-9
332.0E-3,163.8E-9,223.8E-9,244.4E-9,334.0E-3,4.827E-6,6.822E-6,5.743E-6,332.0E-3,198.0E-9
334.0E-3,173.5E-9,236.5E-9,258.1E-9,336.0E-3,5.087E-6,7.163E-6,6.045E-6,334.0E-3,209.5E-9
336.0E-3,183.7E-9,249.9E-9,272.4E-9,338.0E-3,5.359E-6,7.519E-6,6.360E-6,336.0E-3,221.6E-9
338.0E-3,194.4E-9,264.0E-9,287.4E-9,340.0E-3,5.643E-6,7.890E-6,6.689E-6,338.0E-3,234.3E-9
340.0E-3,205.7E-9,278.8E-9,303.2E-9,342.0E-3,5.941E-6,8.277E-6,7.033E-6,340.0E-3,247.7E-9
342.0E-3,217.6E-9,294.3E-9,319.8E-9,344.0E-3,6.251E-6,8.680E-6,7.392E-6,342.0E-3,261.7E-9
344.0E-3,230.1E-9,310.6E-9,337.1E-9,346.0E-3,6.576E-6,9.100E-6,7.767E-6,344.0E-3,276.5E-9
346.0E-3,243.2E-9,327.6E-9,355.3E-9,348.0E-3,6.916E-6,9.537E-6,8.158E-6,346.0E-3,292.0E-9
348.0E-3,257.0E-9,345.6E-9,374.4E-9,350.0E-3,7.270E-6,9.991E-6,8.566E-6,348.0E-3,308.4E-9
350.0E-3,271.6E-9,364.4E-9,394.4E-9,352.0E-3,7.640E-6,10.46E-6,8.991E-6,350.0E-3,325.5E-9
352.0E-3,286.9E-9,384.1E-9,415.3E-9,354.0E-3,8.025E-6,10.96E-6,9.433E-6,352.0E-3,343.5E-9
354.0E-3,302.9E-9,404.7E-9,437.2E-9,356.0E-3,8.427E-6,11.47E-6,9.894E-6,354.0E-3,362.3E-9
356.0E-3,319.8E-9,426.4E-9,460.2E-9,358.0E-3,8.847E-6,12.00E-6,10.37E-6,356.0E-3,382.1E-9
358.0E-3,337.5E-9,449.0E-9,484.2E-9,360.0E-3,9.283E-6,12.55E-6,10.87E-6,358.0E-3,402.9E-9
360.0E-3,356.0E-9,472.8E-9,509.3E-9,362.0E-3,9.738E-6,13.13E-6,11.39E-6,360.0E-3,424.6E-9
362.0E-3,375.5E-9,497.6E-9,535.5E-9,364.0E-3,10.21E-6,13.72E-6,11.94E-6,362.0E-3,447.4E-9
364.0E-3,395.9E-9,523.6E-9,563.0E-9,366.0E-3,10.70E-6,14.34E-6,12.50E-6,364.0E-3,471.3E-9
366.0E-3,417.3E-9,550.8E-9,591.7E-9,368.0E-3,11.22E-6,14.98E-6,13.08E-6,366.0E-3,496.3E-9
