dc (V),NM0:d (A),V1:p (A),dc (V),deriv(i("/V1/PLUS" ?result "dc")),deriv(i("/NM0/D" ?result "dc"))
260.0E-3,5.905E-3,1.480E-3,262.0E-3,-9.055E-3,8.836E-6
262.0E-3,5.905E-3,1.462E-3,264.0E-3,-9.020E-3,9.399E-6
264.0E-3,5.905E-3,1.444E-3,266.0E-3,-8.985E-3,9.996E-6
266.0E-3,5.905E-3,1.426E-3,268.0E-3,-8.950E-3,10.63E-6
268.0E-3,5.905E-3,1.408E-3,270.0E-3,-8.914E-3,11.30E-6
270.0E-3,5.905E-3,1.390E-3,272.0E-3,-8.877E-3,12.01E-6
272.0E-3,5.905E-3,1.372E-3,274.0E-3,-8.840E-3,12.76E-6
274.0E-3,5.905E-3,1.354E-3,276.0E-3,-8.803E-3,13.56E-6
276.0E-3,5.905E-3,1.337E-3,278.0E-3,-8.765E-3,14.40E-6
278.0E-3,5.905E-3,1.319E-3,280.0E-3,-8.727E-3,15.29E-6
280.0E-3,5.905E-3,1.302E-3,282.0E-3,-8.688E-3,16.23E-6
282.0E-3,5.905E-3,1.284E-3,284.0E-3,-8.649E-3,17.22E-6
284.0E-3,5.905E-3,1.267E-3,286.0E-3,-8.609E-3,18.27E-6
286.0E-3,5.905E-3,1.250E-3,288.0E-3,-8.569E-3,19.38E-6
288.0E-3,5.905E-3,1.233E-3,290.0E-3,-8.528E-3,20.55E-6
290.0E-3,5.905E-3,1.216E-3,292.0E-3,-8.486E-3,21.78E-6
292.0E-3,5.905E-3,1.199E-3,294.0E-3,-8.444E-3,23.09E-6
294.0E-3,5.905E-3,1.182E-3,296.0E-3,-8.402E-3,24.46E-6
296.0E-3,5.905E-3,1.165E-3,298.0E-3,-8.359E-3,25.91E-6
298.0E-3,5.905E-3,1.148E-3,300.0E-3,-8.315E-3,27.43E-6
300.0E-3,5.905E-3,1.132E-3,302.0E-3,-8.271E-3,29.04E-6
302.0E-3,5.905E-3,1.115E-3,304.0E-3,-8.226E-3,30.73E-6
304.0E-3,5.905E-3,1.099E-3,306.0E-3,-8.181E-3,32.51E-6
306.0E-3,5.905E-3,1.082E-3,308.0E-3,-8.135E-3,34.38E-6
308.0E-3,5.905E-3,1.066E-3,310.0E-3,-8.088E-3,36.35E-6
310.0E-3,5.905E-3,1.050E-3,312.0E-3,-8.041E-3,38.42E-6
312.0E-3,5.905E-3,1.034E-3,314.0E-3,-7.994E-3,40.60E-6
314.0E-3,5.905E-3,1.018E-3,316.0E-3,-7.945E-3,42.88E-6
316.0E-3,5.905E-3,1.002E-3,318.0E-3,-7.896E-3,45.28E-6
318.0E-3,5.905E-3,986.2E-6,320.0E-3,-7.847E-3,47.79E-6
320.0E-3,5.905E-3,970.5E-6,322.0E-3,-7.797E-3,50.43E-6
322.0E-3,5.905E-3,954.9E-6,324.0E-3,-7.746E-3,53.19E-6
324.0E-3,5.905E-3,939.4E-6,326.0E-3,-7.694E-3,56.09E-6
326.0E-3,5.905E-3,924.1E-6,328.0E-3,-7.642E-3,59.12E-6
328.0E-3,5.905E-3,908.8E-6,330.0E-3,-7.590E-3,62.30E-6
330.0E-3,5.905E-3,893.6E-6,332.0E-3,-7.536E-3,65.62E-6
332.0E-3,5.905E-3,878.5E-6,334.0E-3,-7.482E-3,69.10E-6
334.0E-3,5.905E-3,863.6E-6,336.0E-3,-7.428E-3,72.74E-6
336.0E-3,5.905E-3,848.7E-6,338.0E-3,-7.372E-3,76.54E-6
338.0E-3,5.905E-3,834.0E-6,340.0E-3,-7.316E-3,80.51E-6
340.0E-3,5.905E-3,819.3E-6,342.0E-3,-7.260E-3,84.66E-6
342.0E-3,5.905E-3,804.8E-6,344.0E-3,-7.203E-3,88.98E-6
344.0E-3,5.905E-3,790.4E-6,346.0E-3,-7.145E-3,93.50E-6
346.0E-3,5.905E-3,776.1E-6,348.0E-3,-7.086E-3,98.21E-6
348.0E-3,5.905E-3,761.9E-6,350.0E-3,-7.027E-3,103.1E-6
350.0E-3,5.905E-3,747.9E-6,352.0E-3,-6.967E-3,108.2E-6
352.0E-3,5.905E-3,733.9E-6,354.0E-3,-6.906E-3,113.6E-6
354.0E-3,5.905E-3,720.1E-6,356.0E-3,-6.845E-3,119.1E-6
356.0E-3,5.905E-3,706.4E-6,358.0E-3,-6.783E-3,124.9E-6
358.0E-3,5.905E-3,692.9E-6,360.0E-3,-6.721E-3,130.9E-6
360.0E-3,5.905E-3,679.4E-6,362.0E-3,-6.657E-3,137.2E-6
362.0E-3,5.905E-3,666.1E-6,364.0E-3,-6.594E-3,143.7E-6
364.0E-3,5.905E-3,652.9E-6,366.0E-3,-6.529E-3,150.4E-6
366.0E-3,5.905E-3,639.9E-6,368.0E-3,-6.464E-3,157.4E-6
368.0E-3,5.905E-3,626.9E-6,370.0E-3,-6.398E-3,164.7E-6
370.0E-3,5.905E-3,614.2E-6,372.0E-3,-6.332E-3,172.3E-6
372.0E-3,5.905E-3,601.5E-6,374.0E-3,-6.265E-3,180.1E-6
374.0E-3,5.905E-3,589.0E-6,376.0E-3,-6.197E-3,188.3E-6
376.0E-3,5.905E-3,576.6E-6,378.0E-3,-6.129E-3,196.8E-6
378.0E-3,5.905E-3,564.3E-6,380.0E-3,-6.061E-3,205.5E-6
380.0E-3,5.905E-3,552.2E-6,382.0E-3,-5.991E-3,214.6E-6
382.0E-3,5.905E-3,540.2E-6,384.0E-3,-5.921E-3,224.0E-6
384.0E-3,5.905E-3,528.4E-6,386.0E-3,-5.851E-3,233.8E-6
386.0E-3,5.905E-3,516.7E-6,388.0E-3,-5.780E-3,243.9E-6
